,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-06-10 02:05:22.000000,2025-06-10 02:05:22,1585.0,815.0,114.0,368.0,90.0,156.0,5471.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-10-23 18:23:21.000000,2025-10-18 01:19:12,373.0,190.0,56.0,220.0,,4.0,2624.0,Collection of web-scraping and crawling libraries.,16.0,0,True,22.0,2025-10-18 01:19:22,2025.10.16,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-10-23 14:40:19.000000,2025-10-17 23:46:46,391.0,280.0,97.0,218.0,9.0,6.0,4193.0,Collection of data-loading and -extraction libraries.,14.0,0,True,25.0,2025-10-17 23:47:01,2025.10.16,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-10-23 14:40:19.000000,2025-10-17 23:46:46,391.0,280.0,97.0,218.0,9.0,6.0,4193.0,Collection of database clients for python.,14.0,0,True,25.0,2025-10-17 23:47:01,2025.10.16,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-10-23 14:40:19.000000,2025-10-17 23:46:46,391.0,280.0,97.0,218.0,9.0,6.0,4193.0,"Collection of data-container, dataframe, and pandas-utility libraries.",14.0,0,True,25.0,2025-10-17 23:47:01,2025.10.16,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-10-23 14:40:19.000000,2025-10-17 23:46:46,391.0,280.0,97.0,218.0,9.0,6.0,4193.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",14.0,0,True,25.0,2025-10-17 23:47:01,2025.10.16,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-10-23 18:00:13.000000,2025-10-23 17:45:48,186185.0,73356.0,7431.0,59847.0,802.0,40078.0,194975.0,An Open Source Machine Learning Framework for Everyone.,4953.0,56,True,3468.0,2025-08-13 17:45:14,2.20.0,100.0,,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],539663.0,539663.0,https://pypi.org/project/tensorflow,24832719.0,25605592.0,https://anaconda.org/conda-forge/tensorflow,2025-10-23 02:58:49.338,5987949.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-10-23 12:50:25.426010,2814.0,80661470.0,1.0,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-10-23 17:55:07.000000,2025-10-23 17:02:49,94863.0,25127.0,1776.0,111203.0,15462.0,38993.0,94196.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5987.0,56,True,3932.0,2025-10-15 17:12:27,2.9.0,62.0,,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],826864.0,826864.0,https://pypi.org/project/torch,67674080.0,68263776.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,28846837.0,,,,,1.0,107549.0,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-10-23 17:47:52.000000,2025-10-23 16:00:54,20968.0,29765.0,1167.0,23139.0,1085.0,17008.0,151513.0,"Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and..",3626.0,54,True,1173.0,2025-10-14 15:39:34,4.57.1,163.0,,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",403137.0,403137.0,https://pypi.org/project/transformers,91263169.0,91315741.0,https://anaconda.org/conda-forge/transformers,2025-10-14 17:20:28.224,3312069.0,,,,,1.0,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-10-23 15:50:47.000000,2025-10-23 15:50:46,33063.0,25615.0,2119.0,19651.0,1599.0,10177.0,63776.0,scikit-learn: machine learning in Python.,3431.0,53,True,389.0,2025-09-09 08:57:24,1.7.2,59.0,,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1326589.0,1326589.0,https://pypi.org/project/scikit-learn,137962405.0,138579991.0,https://anaconda.org/conda-forge/scikit-learn,2025-09-09 16:17:03.021,40142528.0,,,,,1.0,1062.0,,,,,,,,,,
