,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-06-10 02:05:22.000000,2025-06-10 02:05:22,1585.0,824.0,114.0,368.0,91.0,156.0,5517.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-11-27 16:48:30.000000,2025-11-20 18:19:15,383.0,191.0,56.0,225.0,,4.0,2644.0,Collection of web-scraping and crawling libraries.,16.0,0,True,22.0,2025-11-20 18:19:20,2025.11.20,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-11-27 13:54:11.000000,2025-11-27 13:54:11,404.0,282.0,96.0,223.0,9.0,6.0,4240.0,Collection of data-loading and -extraction libraries.,15.0,0,True,27.0,2025-11-27 13:54:17,2025.11.27,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-11-27 13:54:11.000000,2025-11-27 13:54:11,404.0,282.0,96.0,223.0,9.0,6.0,4240.0,Collection of database clients for python.,15.0,0,True,27.0,2025-11-27 13:54:17,2025.11.27,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-11-27 13:54:11.000000,2025-11-27 13:54:11,404.0,282.0,96.0,223.0,9.0,6.0,4240.0,"Collection of data-container, dataframe, and pandas-utility libraries.",15.0,0,True,27.0,2025-11-27 13:54:17,2025.11.27,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-11-27 13:54:11.000000,2025-11-27 13:54:11,404.0,282.0,96.0,223.0,9.0,6.0,4240.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",15.0,0,True,27.0,2025-11-27 13:54:17,2025.11.27,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-11-27 17:56:06.000000,2025-11-27 17:52:14,187550.0,73427.0,7429.0,62135.0,853.0,40179.0,195413.0,An Open Source Machine Learning Framework for Everyone.,4973.0,56,True,3439.0,2025-08-13 17:45:14,2.20.0,100.0,,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],540490.0,540490.0,https://pypi.org/project/tensorflow,25644446.0,26414073.0,https://anaconda.org/conda-forge/tensorflow,2025-11-11 17:05:58.324,6121917.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-11-27 14:19:33.313394,2825.0,80876813.0,1.0,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-11-27 16:39:22.000000,2025-11-25 01:59:08,96360.0,25498.0,1774.0,113119.0,16128.0,39451.0,95420.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,6061.0,56,True,4029.0,2025-11-12 19:27:19,2.9.1,63.0,,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],830475.0,830475.0,https://pypi.org/project/torch,73585423.0,74173524.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,29341761.0,,,,,1.0,139331.0,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-11-27 18:03:56.000000,2025-11-27 17:59:43,21273.0,30094.0,1161.0,23623.0,1086.0,17152.0,153110.0,"Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and..",3668.0,54,True,1014.0,2025-11-25 15:51:36,4.57.3,165.0,,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",405392.0,405392.0,https://pypi.org/project/transformers,116395451.0,116449403.0,https://anaconda.org/conda-forge/transformers,2025-11-25 16:45:50.377,3452929.0,,,,,1.0,,9.0,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-11-27 16:02:35.000000,2025-11-27 16:02:34,33190.0,25731.0,2120.0,19843.0,1582.0,10245.0,64146.0,scikit-learn: machine learning in Python.,3444.0,54,True,415.0,2025-09-09 08:57:24,1.7.2,60.0,,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1330289.0,1330289.0,https://pypi.org/project/scikit-learn,187690917.0,188311689.0,https://anaconda.org/conda-forge/scikit-learn,2025-11-26 16:44:01.738,40970396.0,,,,,1.0,1066.0,,,,,,,,,,
10,langchain,langchain-ai/langchain,agents,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2025-11-27 07:56:13.000000,2025-11-27 05:34:15,14818.0,19499.0,793.0,19855.0,174.0,8667.0,120627.0,The platform for reliable agents.,3557.0,50,True,743.0,2025-11-24 15:31:38,langchain==1.1.0,100.0,,langchain,,,,,276690.0,276690.0,https://pypi.org/project/langchain,96192701.0,96192701.0,,,,,,,,1.0,,,,,,,,,,,
11,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-11-27 15:12:45.000000,2025-11-27 15:12:45,11804.0,18984.0,1867.0,8486.0,223.0,12373.0,63611.0,Deep Learning for humans.,1454.0,50,True,126.0,2025-10-27 20:22:24,3.12.0,82.0,,keras,conda-forge/keras,,https://keras.io,['tensorflow'],304870.0,304870.0,https://pypi.org/project/keras,18961064.0,19031182.0,https://anaconda.org/conda-forge/keras,2025-10-28 01:59:07.277,4557690.0,,,,,1.0,,,,,,,,,,,
12,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-11-27 17:15:50.000000,2025-11-27 17:15:50,53407.0,7963.0,587.0,19691.0,1207.0,9850.0,22063.0,matplotlib: plotting with Python.,1862.0,49,True,217.0,2025-11-13 02:16:00,3.10.8,97.0,,matplotlib,conda-forge/matplotlib,,,,1861590.0,1861590.0,https://pypi.org/project/matplotlib,125850079.0,126372525.0,https://anaconda.org/conda-forge/matplotlib,2025-11-13 19:55:38.824,33959045.0,,,,,1.0,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-11-25 02:50:30.477000,2025-11-22 11:40:52,20146.0,2217.0,216.0,5721.0,68.0,3302.0,13230.0,Python Imaging Library (Fork).,490.0,49,True,192.0,2025-10-15 18:27:27,12.0.0,61.0,,Pillow,conda-forge/pillow,,,,2398987.0,2398987.0,https://pypi.org/project/Pillow,241653769.0,242644973.0,https://anaconda.org/conda-forge/pillow,2025-11-25 02:50:30.477,63437099.0,,,,,1.0,,,,,,,,,,,
14,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2025-11-27 18:14:20.000000,2025-11-27 14:48:41,28192.0,6823.0,483.0,36754.0,2876.0,19062.0,40038.0,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML..,1410.0,48,True,1423.0,2025-11-21 19:10:39,ray-2.52.0,100.0,,ray,conda-forge/ray-tune,,,,26784.0,26784.0,https://pypi.org/project/ray,33409039.0,33425089.0,https://anaconda.org/conda-forge/ray-tune,2025-11-27 08:56:02.169,946802.0,,,,,1.0,268.0,,,,,,,,,,
