,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,trending,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-06-10 02:05:22.000000,2025-06-10 02:05:22,1585.0,822.0,114.0,368.0,91.0,156.0,5497.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-11-13 16:43:55.000000,2025-11-06 17:56:54,379.0,190.0,55.0,223.0,,4.0,2639.0,Collection of web-scraping and crawling libraries.,16.0,0,True,22.0,2025-11-06 17:57:00,2025.11.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-11-13 13:39:01.000000,2025-11-07 05:43:02,398.0,281.0,96.0,221.0,9.0,6.0,4225.0,Collection of data-loading and -extraction libraries.,15.0,0,True,25.0,2025-11-06 17:57:45,2025.11.06,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-11-13 13:39:01.000000,2025-11-07 05:43:02,398.0,281.0,96.0,221.0,9.0,6.0,4225.0,Collection of database clients for python.,15.0,0,True,25.0,2025-11-06 17:57:45,2025.11.06,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-11-13 13:39:01.000000,2025-11-07 05:43:02,398.0,281.0,96.0,221.0,9.0,6.0,4225.0,"Collection of data-container, dataframe, and pandas-utility libraries.",15.0,0,True,25.0,2025-11-06 17:57:45,2025.11.06,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-11-13 13:39:01.000000,2025-11-07 05:43:02,398.0,281.0,96.0,221.0,9.0,6.0,4225.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",15.0,0,True,25.0,2025-11-06 17:57:45,2025.11.06,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-11-13 17:54:35.000000,2025-11-13 17:48:25,186987.0,73415.0,7434.0,61239.0,835.0,40152.0,195241.0,An Open Source Machine Learning Framework for Everyone.,4966.0,56,True,3329.0,2025-08-13 17:45:14,2.20.0,100.0,,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],540138.0,540138.0,https://pypi.org/project/tensorflow,27062010.0,27830134.0,https://anaconda.org/conda-forge/tensorflow,2025-11-11 17:05:58.324,6068525.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-11-13 13:49:53.410538,2817.0,80796553.0,1.0,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-11-13 17:56:25.000000,2025-11-13 17:46:09,95911.0,25363.0,1776.0,112435.0,15539.0,39286.0,95038.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,6041.0,56,True,4156.0,2025-11-12 19:27:19,2.9.1,63.0,,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],829046.0,829046.0,https://pypi.org/project/torch,72627874.0,73212102.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,29156408.0,,,,,1.0,121007.0,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-11-13 18:01:27.000000,2025-11-13 16:12:52,21125.0,29980.0,1163.0,23412.0,1092.0,17087.0,152482.0,"Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and..",3653.0,54,True,1066.0,2025-10-14 15:39:34,4.57.1,163.0,,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",404528.0,404528.0,https://pypi.org/project/transformers,107037181.0,107090238.0,https://anaconda.org/conda-forge/transformers,2025-10-14 17:20:28.224,3395700.0,,,,,1.0,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-11-13 14:05:30.000000,2025-11-13 14:05:29,33134.0,25692.0,2120.0,19762.0,1587.0,10222.0,64022.0,scikit-learn: machine learning in Python.,3440.0,53,True,405.0,2025-09-09 08:57:24,1.7.2,59.0,,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1328810.0,1328810.0,https://pypi.org/project/scikit-learn,146496524.0,147112535.0,https://anaconda.org/conda-forge/scikit-learn,2025-09-09 16:17:03.021,40656138.0,,,,,1.0,1066.0,,,,,,,,,,
