,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,trending,maven_id,maven_url,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-12-22 20:04:44.000000,2023-10-23 18:26:19,1535.0,19.0,620.0,110.0,305.0,46.0,132.0,4268.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-12-28 17:09:02.000000,2023-12-28 17:09:01,295.0,26.0,155.0,51.0,176.0,,3.0,2090.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2023-12-28 17:09:09,2023.12.28,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-28 17:08:15.000000,2023-12-28 17:08:15,313.0,27.0,221.0,88.0,176.0,4.0,4.0,3262.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2023-12-28 17:08:21,2023.12.28,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-28 17:08:15.000000,2023-12-28 17:08:15,313.0,27.0,221.0,88.0,176.0,4.0,4.0,3262.0,Collection of database clients for python.,12.0,0,True,2023-12-28 17:08:21,2023.12.28,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-28 17:08:15.000000,2023-12-28 17:08:15,313.0,27.0,221.0,88.0,176.0,4.0,4.0,3262.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2023-12-28 17:08:21,2023.12.28,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-12-28 17:08:15.000000,2023-12-28 17:08:15,313.0,27.0,221.0,88.0,176.0,4.0,4.0,3262.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2023-12-28 17:08:21,2023.12.28,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-12-28 17:38:17.000000,2023-12-28 17:02:27,157762.0,3312.0,71985.0,7659.0,23579.0,1923.0,36592.0,181927.0,An Open Source Machine Learning Framework for Everyone.,4515.0,54,True,2023-11-14 18:46:08,2.15.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],331435.0,331435.0,https://pypi.org/project/tensorflow,17034554.0,18217755.0,https://anaconda.org/conda-forge/tensorflow,2023-12-22 04:01:45.812,4446734.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-12-28 13:52:52.000061,2243.0,75558447.0,1.0,,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-12-28 17:59:24.000000,2023-12-28 15:25:08,67805.0,3205.0,19480.0,1680.0,77481.0,12258.0,26475.0,73954.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4559.0,54,True,2023-12-15 01:59:57,2.1.2,48.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],367596.0,367596.0,https://pypi.org/project/torch,15808563.0,16543913.0,https://anaconda.org/pytorch/pytorch,2023-12-14 15:11:56.517,19844905.0,,,,,1.0,30801.0,,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-12-28 16:26:38.000000,2023-12-27 10:41:46,30760.0,263.0,24004.0,2148.0,16516.0,1631.0,8966.0,56890.0,scikit-learn: machine learning in Python.,3028.0,52,True,2023-10-25 08:23:32,1.3.2,45.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],669266.0,669266.0,https://pypi.org/project/scikit-learn,44272869.0,44873357.0,https://anaconda.org/conda-forge/scikit-learn,2023-12-20 20:44:10.007,25820575.0,,,,,1.0,930.0,,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-12-28 15:26:57.000000,2023-12-26 20:52:10,14816.0,738.0,22397.0,1070.0,14278.0,700.0,12943.0,117805.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2327.0,50,True,2023-12-18 18:44:02,4.36.2,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",125645.0,125645.0,https://pypi.org/project/transformers,19037162.0,19073093.0,https://anaconda.org/conda-forge/transformers,2023-12-19 03:00:23.210,1473188.0,,,,,1.0,,,,,,,,,,,,,
10,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-12-28 18:00:09.000000,2023-12-22 09:55:16,49303.0,659.0,7112.0,591.0,17569.0,1167.0,8818.0,18629.0,matplotlib: plotting with Python.,1635.0,48,True,2023-11-18 01:36:36,3.7.4,80.0,matplotlib,conda-forge/matplotlib,,,,1045209.0,1045209.0,https://pypi.org/project/matplotlib,46950572.0,47461540.0,https://anaconda.org/conda-forge/matplotlib,2023-11-20 21:33:42.497,21460683.0,,,,,1.0,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-12-28 10:11:09.000000,2023-12-27 11:58:35,16800.0,489.0,1948.0,223.0,4530.0,75.0,2895.0,11366.0,Python Imaging Library (Fork).,457.0,47,True,2023-10-15 13:05:17,10.1.0,53.0,Pillow,conda-forge/pillow,,,,1478135.0,1478135.0,https://pypi.org/project/Pillow,72526497.0,73388963.0,https://anaconda.org/conda-forge/pillow,2023-10-16 03:42:18.439,35361125.0,,,,,1.0,,,,,,,,,,,,,
12,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-12-28 15:08:46.000000,2023-12-26 21:54:52,10206.0,433.0,18577.0,1911.0,6843.0,135.0,11348.0,60096.0,Deep Learning for humans.,1266.0,45,True,2023-12-21 19:22:48,3.0.2,56.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],21.0,21.0,https://pypi.org/project/keras,13423883.0,13503551.0,https://anaconda.org/conda-forge/keras,2023-12-23 16:24:50.607,3346092.0,,,,,1.0,,,,,,,,,,,,,
