,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-10-29 08:34:20.000000,2024-10-29 08:34:20,1568.0,3.0,715.0,118.0,340.0,66.0,150.0,4977.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,170.0,58.0,205.0,,3.0,2333.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,249.0,94.0,199.0,5.0,6.0,3704.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,249.0,94.0,199.0,5.0,6.0,3704.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,249.0,94.0,199.0,5.0,6.0,3704.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,249.0,94.0,199.0,5.0,6.0,3704.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-11-21 17:58:23.000000,2024-11-21 17:56:02,172450.0,3687.0,72726.0,7566.0,39731.0,1288.0,38718.0,189092.0,An Open Source Machine Learning Framework for Everyone.,4719.0,55,True,2024-10-24 23:51:36,2.18.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],431474.0,431474.0,https://pypi.org/project/tensorflow,19255434.0,20080617.0,https://anaconda.org/conda-forge/tensorflow,2024-10-17 06:34:48.464,5106739.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-11-21 13:48:46.366741,2616.0,78513521.0,1.0,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-11-21 17:53:44.000000,2024-11-21 16:50:52,81257.0,3711.0,22218.0,1743.0,94103.0,14462.0,32301.0,84342.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5259.0,55,True,2024-10-29 17:58:24,2.5.1,57.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],573127.0,573127.0,https://pypi.org/project/torch,32533209.0,33181376.0,https://anaconda.org/pytorch/pytorch,2024-10-28 23:02:38.194,24604721.0,,,,,1.0,66221.0,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-11-21 12:53:05.000000,2024-11-21 12:53:04,31929.0,317.0,24695.0,2139.0,18027.0,1537.0,9715.0,60201.0,scikit-learn: machine learning in Python.,3225.0,53,True,2024-09-11 15:52:05,1.5.2,53.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],957801.0,957801.0,https://pypi.org/project/scikit-learn,78913012.0,79511222.0,https://anaconda.org/conda-forge/scikit-learn,2024-11-15 14:22:02.851,32302882.0,,,,,1.0,1028.0,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-11-21 16:49:13.000000,2024-11-21 13:52:39,17414.0,747.0,26033.0,1123.0,18173.0,993.0,15195.0,135280.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2929.0,52,True,2024-11-18 22:13:14,4.46.3,131.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",244109.0,244109.0,https://pypi.org/project/transformers,42080981.0,42124130.0,https://anaconda.org/conda-forge/transformers,2024-11-19 01:57:44.980,2243794.0,,,,,1.0,,,,,,,,,,,,
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-11-21 17:25:44.000000,2024-11-21 14:33:00,11946.0,856.0,15122.0,689.0,15961.0,471.0,7416.0,95150.0,Build context-aware reasoning applications.,2967.0,49,True,2024-11-21 03:39:43,langchain-tests==0.3.4,100.0,langchain,,,,,150063.0,150063.0,https://pypi.org/project/langchain,22942686.0,22942686.0,,,,,,,,1.0,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-11-21 08:56:39.000000,2024-11-21 08:56:39,51358.0,380.0,7490.0,592.0,18566.0,1203.0,9369.0,20319.0,matplotlib: plotting with Python.,1748.0,48,True,2024-08-13 00:10:52,3.9.2,88.0,matplotlib,conda-forge/matplotlib,,,,1423329.0,1423329.0,https://pypi.org/project/matplotlib,66871626.0,67379857.0,https://anaconda.org/conda-forge/matplotlib,2024-11-08 00:49:06.836,26936258.0,,,,,1.0,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-11-21 08:25:18.000000,2024-11-18 10:17:40,18835.0,484.0,2101.0,219.0,5176.0,84.0,3108.0,12316.0,Python Imaging Library (Fork).,482.0,48,True,2024-10-15 14:29:17,11.0.0,57.0,Pillow,conda-forge/pillow,,,,1921826.0,1921826.0,https://pypi.org/project/Pillow,116747874.0,117642560.0,https://anaconda.org/conda-forge/pillow,2024-10-18 22:08:55.292,46523723.0,,,,,1.0,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-11-20 15:41:09.000000,2024-11-20 15:41:09,59223.0,456.0,4383.0,291.0,13516.0,4426.0,8921.0,13018.0,A computer algebra system written in pure Python.,1342.0,47,True,2024-09-18 21:54:45,1.13.3,55.0,sympy,conda-forge/sympy,,,,190868.0,190868.0,https://pypi.org/project/sympy,30066881.0,30203383.0,https://anaconda.org/conda-forge/sympy,2024-10-09 14:38:28.134,7152334.0,,,,,1.0,551171.0,,,,,,,,,,,
14,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-11-21 16:20:47.000000,2024-11-21 13:31:48,6835.0,267.0,3071.0,320.0,5124.0,951.0,3707.0,35811.0,Streamlit A faster way to build and share data apps.,247.0,46,True,2024-11-11 19:48:58,1.40.1,86.0,streamlit,,,,,592642.0,592642.0,https://pypi.org/project/streamlit,7397447.0,7397447.0,,,,,,,,1.0,,,,,,,,,,,,
