,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,updated_github_id,helm_id,trending,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-01-22 11:36:03.000000,2025-01-22 11:36:03,1575.0,7.0,733.0,118.0,347.0,70.0,154.0,5081.0,Benchmarks of approximate nearest neighbor libraries in Python.,111.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,179.0,58.0,205.0,,3.0,2427.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,248.0,96.0,199.0,5.0,6.0,3787.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,248.0,96.0,199.0,5.0,6.0,3787.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,248.0,96.0,199.0,5.0,6.0,3787.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,248.0,96.0,199.0,5.0,6.0,3787.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-01-30 18:03:45.000000,2025-01-30 17:58:22,175386.0,3637.0,72861.0,7530.0,44052.0,834.0,39367.0,190184.0,An Open Source Machine Learning Framework for Everyone.,4778.0,55,True,2024-10-24 23:51:36,2.18.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],458621.0,458621.0,https://pypi.org/project/tensorflow,19778289.0,20593955.0,https://anaconda.org/conda-forge/tensorflow,2024-10-17 06:34:48.464,5271114.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-01-30 13:49:44.905224,2677.0,78985913.0,1.0,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-01-30 18:07:07.000000,2025-01-30 16:54:08,83810.0,3408.0,22741.0,1765.0,97148.0,14509.0,33984.0,86344.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5386.0,55,True,2025-01-29 17:18:54,2.6.0,58.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],629069.0,629069.0,https://pypi.org/project/torch,32622804.0,33263480.0,https://anaconda.org/pytorch/pytorch,2024-10-28 23:02:38.194,25597704.0,,,,,1.0,73439.0,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-01-30 14:44:37.000000,2025-01-30 14:44:37,32128.0,257.0,24821.0,2143.0,18310.0,1551.0,9804.0,60915.0,scikit-learn: machine learning in Python.,3252.0,53,True,2025-01-10 10:51:11,1.6.1,55.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1040173.0,1040173.0,https://pypi.org/project/scikit-learn,74610543.0,75211322.0,https://anaconda.org/conda-forge/scikit-learn,2025-01-10 08:41:17.222,33643173.0,,,,,1.0,1039.0,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-01-30 17:55:38.000000,2025-01-30 17:55:36,17919.0,600.0,26678.0,1135.0,18892.0,998.0,15556.0,138293.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",3040.0,52,True,2025-01-20 16:36:05,4.48.1,135.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",278028.0,278028.0,https://pypi.org/project/transformers,37658414.0,37703855.0,https://anaconda.org/conda-forge/transformers,2025-01-21 03:18:24.714,2453841.0,,,,,1.0,,,,,,,,,,,,
10,langchain,langchain-ai/langchain,agents,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2025-01-30 00:24:36.000000,2025-01-29 22:50:00,12545.0,772.0,15820.0,709.0,16675.0,356.0,7760.0,99205.0,Build context-aware reasoning applications.,3136.0,49,True,2025-01-30 00:24:36,langchain-fireworks==0.2.7,100.0,langchain,,,,,177414.0,177414.0,https://pypi.org/project/langchain,30211122.0,30211122.0,,,,,,,,1.0,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-01-30 16:39:02.000000,2025-01-30 16:39:02,51904.0,535.0,7553.0,592.0,18825.0,1224.0,9462.0,20637.0,matplotlib: plotting with Python.,1771.0,48,True,2024-12-14 05:30:28,3.10.0,91.0,matplotlib,conda-forge/matplotlib,,,,1524253.0,1524253.0,https://pypi.org/project/matplotlib,66392662.0,66900909.0,https://anaconda.org/conda-forge/matplotlib,2024-12-16 20:44:59.565,27953625.0,,,,,1.0,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-01-30 11:27:43.000000,2025-01-30 11:27:42,19133.0,332.0,2117.0,219.0,5293.0,73.0,3157.0,12498.0,Python Imaging Library (Fork).,484.0,48,True,2025-01-02 08:20:18,11.1.0,58.0,Pillow,conda-forge/pillow,,,,2030837.0,2030837.0,https://pypi.org/project/Pillow,118186431.0,119097227.0,https://anaconda.org/conda-forge/pillow,2025-01-03 20:03:34.476,49183008.0,,,,,1.0,,,,,,,,,,,,
13,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2025-01-28 23:51:25.000000,2025-01-28 23:51:25,59424.0,301.0,4479.0,292.0,13645.0,4462.0,8978.0,13257.0,A computer algebra system written in pure Python.,1349.0,47,True,2024-09-18 21:54:45,1.13.3,55.0,sympy,conda-forge/sympy,,,,214213.0,214213.0,https://pypi.org/project/sympy,30054442.0,30195979.0,https://anaconda.org/conda-forge/sympy,2025-01-07 11:14:01.011,7701337.0,,,,,1.0,553989.0,,,,,,,,,,,
