,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-04-29 06:46:17.000,2024-04-15 22:07:23,1551.0,15.0,663.0,116.0,326.0,54.0,136.0,4607.0,Benchmarks of approximate nearest neighbor libraries in Python.,103.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-05-02 18:18:26.000,2024-05-02 18:18:26,336.0,31.0,162.0,54.0,199.0,,3.0,2172.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-05-02 18:18:37,2024.05.02,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-02 14:12:41.000,2024-04-25 16:50:28,347.0,24.0,231.0,87.0,194.0,4.0,5.0,3424.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-04-25 16:50:37,2024.04.25,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-02 14:12:41.000,2024-04-25 16:50:28,347.0,24.0,231.0,87.0,194.0,4.0,5.0,3424.0,Collection of database clients for python.,12.0,0,True,2024-04-25 16:50:37,2024.04.25,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-02 14:12:41.000,2024-04-25 16:50:28,347.0,24.0,231.0,87.0,194.0,4.0,5.0,3424.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-04-25 16:50:37,2024.04.25,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-02 14:12:41.000,2024-04-25 16:50:28,347.0,24.0,231.0,87.0,194.0,4.0,5.0,3424.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-04-25 16:50:37,2024.04.25,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-05-02 17:56:49.000,2024-05-02 17:46:24,163755.0,4417.0,72295.0,7636.0,27077.0,1937.0,37229.0,184965.0,An Open Source Machine Learning Framework for Everyone.,4595.0,56,True,2024-03-08 19:09:29,2.15.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],365237.0,365237.0,https://pypi.org/project/tensorflow,22719810.0,23760897.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4577104.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-05-02 12:51:06.045981,2396.0,77011906.0,1.0,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-05-02 17:57:21.000,2024-05-02 17:16:02,72542.0,3442.0,20611.0,1704.0,83480.0,12968.0,28638.0,78079.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4821.0,55,True,2024-04-24 16:12:17,2.3.0,52.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],438192.0,438192.0,https://pypi.org/project/torch,28295978.0,28958681.0,https://anaconda.org/pytorch/pytorch,2024-04-23 12:59:17.451,21192740.0,,,,,1.0,39614.0,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-05-02 17:11:35.000,2024-05-02 14:54:42,31260.0,332.0,24264.0,2140.0,17134.0,1574.0,9258.0,58178.0,scikit-learn: machine learning in Python.,3112.0,52,True,2024-04-09 20:07:22,1.4.2,48.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],763540.0,763540.0,https://pypi.org/project/scikit-learn,65887140.0,66469747.0,https://anaconda.org/conda-forge/scikit-learn,2024-04-11 09:12:54.843,27964741.0,,,,,1.0,950.0,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-05-02 17:22:23.000,2024-05-02 16:51:49,15795.0,748.0,23875.0,1091.0,15581.0,847.0,13828.0,125360.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2555.0,51,True,2024-04-23 22:01:20,4.40.1,109.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",164133.0,164133.0,https://pypi.org/project/transformers,26300094.0,26335615.0,https://anaconda.org/conda-forge/transformers,2024-04-27 04:40:44.972,1633973.0,,,,,1.0,,,,,,,,,,,,
