,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-06-10 02:05:22.000000,2025-06-10 02:05:22,1585.0,810.0,117.0,364.0,89.0,156.0,5441.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-09-18 17:26:52.000000,2025-09-18 17:26:50,367.0,186.0,57.0,215.0,,4.0,2598.0,Collection of web-scraping and crawling libraries.,16.0,0,True,21.0,2025-09-18 17:26:55,2025.09.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-18 14:54:54.000000,2025-09-18 14:54:54,383.0,273.0,100.0,212.0,8.0,6.0,4143.0,Collection of data-loading and -extraction libraries.,14.0,0,True,22.0,2025-09-18 14:55:01,2025.09.18,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-18 14:54:54.000000,2025-09-18 14:54:54,383.0,273.0,100.0,212.0,8.0,6.0,4143.0,Collection of database clients for python.,14.0,0,True,22.0,2025-09-18 14:55:01,2025.09.18,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-18 14:54:54.000000,2025-09-18 14:54:54,383.0,273.0,100.0,212.0,8.0,6.0,4143.0,"Collection of data-container, dataframe, and pandas-utility libraries.",14.0,0,True,22.0,2025-09-18 14:55:01,2025.09.18,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-18 14:54:54.000000,2025-09-18 14:54:54,383.0,273.0,100.0,212.0,8.0,6.0,4143.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",14.0,0,True,22.0,2025-09-18 14:55:01,2025.09.18,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-09-18 17:59:35.000000,2025-09-18 17:48:01,184685.0,73275.0,7452.0,57690.0,794.0,40008.0,194481.0,An Open Source Machine Learning Framework for Everyone.,4927.0,55,True,3141.0,2025-08-13 17:45:14,2.20.0,100.0,,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],538513.0,538513.0,https://pypi.org/project/tensorflow,22282075.0,23057863.0,https://anaconda.org/conda-forge/tensorflow,2025-09-11 02:20:56.517,5877286.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-09-18 12:50:17.730916,2801.0,80357373.0,1.0,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-09-18 17:59:07.000000,2025-09-18 17:49:16,93198.0,24813.0,1788.0,109007.0,15695.0,38117.0,93268.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5907.0,55,True,3808.0,2025-08-06 17:06:10,2.8.0,61.0,,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],822920.0,822920.0,https://pypi.org/project/torch,67184513.0,67776701.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,28379756.0,,,,,1.0,101974.0,-1.0,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-09-18 16:56:12.000000,2025-09-18 16:56:10,20501.0,29305.0,1167.0,22461.0,1068.0,16877.0,149950.0,"Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and..",3572.0,54,True,1132.0,2025-09-17 09:13:17,4.56.2,160.0,,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",400567.0,400567.0,https://pypi.org/project/transformers,106189417.0,106240759.0,https://anaconda.org/conda-forge/transformers,2025-09-05 01:29:55.430,3183258.0,,,,,1.0,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-09-18 08:39:58.000000,2025-09-18 08:39:58,32858.0,25507.0,2133.0,19373.0,1602.0,10116.0,63365.0,scikit-learn: machine learning in Python.,3381.0,53,True,292.0,2025-09-09 08:57:24,1.7.2,59.0,,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1322489.0,1322489.0,https://pypi.org/project/scikit-learn,133835863.0,134449958.0,https://anaconda.org/conda-forge/scikit-learn,2025-09-09 16:17:03.021,39301534.0,,,,,1.0,1062.0,,,,,,,,,,
10,langchain,langchain-ai/langchain,agents,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2025-09-18 17:44:59.000000,2025-09-18 15:42:11,14251.0,18634.0,774.0,18997.0,127.0,8541.0,115710.0,Build context-aware reasoning applications.,3524.0,50,True,674.0,2025-09-18 15:48:03,langchain-mistralai==0.2.12,100.0,,langchain,,,,,273763.0,273763.0,https://pypi.org/project/langchain,77127807.0,77127807.0,,,,,,,,1.0,,,,,,,,,,,
11,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2025-09-17 21:39:41.000000,2025-09-17 21:39:41,11702.0,18952.0,1880.0,8343.0,229.0,12322.0,63409.0,Deep Learning for humans.,1433.0,50,True,133.0,2025-08-22 17:48:22,3.11.3,81.0,,keras,conda-forge/keras,,https://keras.io,['tensorflow'],303891.0,303891.0,https://pypi.org/project/keras,15054455.0,15123901.0,https://anaconda.org/conda-forge/keras,2025-08-14 14:37:18.300,4375155.0,,,,,1.0,,,,,,,,,,,
12,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2025-09-18 10:03:02.000000,2025-09-18 10:03:02,53257.0,7861.0,586.0,19552.0,1228.0,9761.0,21706.0,matplotlib: plotting with Python.,1852.0,49,True,474.0,2025-08-29 23:30:22,3.10.6,95.0,,matplotlib,conda-forge/matplotlib,,,,1851027.0,1851027.0,https://pypi.org/project/matplotlib,117354184.0,117871961.0,https://anaconda.org/conda-forge/matplotlib,2025-09-04 19:48:17.124,32619968.0,,,,,1.0,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2025-09-18 17:04:36.385000,2025-09-17 14:36:56,19897.0,2178.0,218.0,5651.0,73.0,3277.0,13074.0,Python Imaging Library (Fork).,490.0,49,True,246.0,2025-07-01 09:23:32,11.3.0,60.0,,Pillow,conda-forge/pillow,,,,2386653.0,2386653.0,https://pypi.org/project/Pillow,203169612.0,204138394.0,https://anaconda.org/conda-forge/pillow,2025-09-18 17:04:36.385,60064497.0,,,,,1.0,,,,,,,,,,,
14,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2025-09-18 05:01:34.000000,2025-09-18 05:01:34,61069.0,4717.0,291.0,14176.0,4572.0,9193.0,13927.0,A computer algebra system written in pure Python.,1406.0,48,True,616.0,2025-04-27 18:05:25,1.14.0,58.0,,sympy,conda-forge/sympy,,,,284553.0,284553.0,https://pypi.org/project/sympy,69254456.0,69416037.0,https://anaconda.org/conda-forge/sympy,2025-04-29 17:03:51.938,10093804.0,,,,,1.0,564470.0,,,,,,,,,,
15,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2025-09-18 18:09:29.000000,2025-09-18 18:07:59,8301.0,3689.0,324.0,6964.0,1125.0,4363.0,41444.0,Streamlit A faster way to build and share data apps.,295.0,47,True,480.0,2025-08-29 18:35:49,1.49.1,100.0,,streamlit,,,,,997446.0,997446.0,https://pypi.org/project/streamlit,15622780.0,15622780.0,,,,,,,,1.0,,,,,,,,,,,
