,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-09-02 06:22:28.000,2024-09-02 06:22:28,1567.0,5.0,701.0,117.0,338.0,62.0,145.0,4871.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000,2024-06-06 19:06:33,346.0,,167.0,58.0,205.0,,3.0,2290.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,1.0,244.0,93.0,199.0,5.0,6.0,3621.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,1.0,244.0,93.0,199.0,5.0,6.0,3621.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,1.0,244.0,93.0,199.0,5.0,6.0,3621.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,1.0,244.0,93.0,199.0,5.0,6.0,3621.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-09-26 18:09:13.000,2024-09-26 18:05:51,78830.0,3860.0,21720.0,1743.0,91094.0,13982.0,31318.0,82473.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5141.0,56,True,2024-09-04 19:59:29,2.4.1,55.0,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,['pytorch'],58120.0,35245441.0,531891.0,531891.0,https://pypi.org/project/torch,34586237.0,https://anaconda.org/pytorch/pytorch,2024-09-03 16:47:49.313,23709594.0,1.0,,,,,,,,,,,,,,,,
7,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-09-26 18:07:31.000,2024-09-26 18:07:23,170144.0,3784.0,72624.0,7599.0,36147.0,1626.0,38158.0,188305.0,An Open Source Machine Learning Framework for Everyone.,4683.0,55,True,2024-07-11 16:28:57,2.17.0,100.0,tensorflow,conda-forge/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],,18389374.0,412042.0,412042.0,https://pypi.org/project/tensorflow,17552563.0,https://anaconda.org/conda-forge/tensorflow,2024-08-31 23:00:17.783,4963947.0,1.0,tensorflow/tensorflow,https://hub.docker.com/r/tensorflow/tensorflow,2024-09-26 12:48:04.271550,2562.0,78178516.0,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-09-26 18:06:04.000,2024-09-26 17:38:20,16935.0,688.0,25398.0,1116.0,17514.0,1025.0,14748.0,132600.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2832.0,52,True,2024-09-26 18:07:17,4.45.1,124.0,transformers,conda-forge/transformers,,"['pytorch', 'tensorflow']",,36286146.0,219275.0,219275.0,https://pypi.org/project/transformers,36244899.0,https://anaconda.org/conda-forge/transformers,2024-08-23 08:59:54.225,2062356.0,1.0,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-09-23 17:48:47.000,2024-09-23 17:48:47,31717.0,264.0,24565.0,2138.0,17766.0,1550.0,9594.0,59528.0,scikit-learn: machine learning in Python.,3180.0,52,True,2024-09-11 15:52:05,1.5.2,52.0,scikit-learn,conda-forge/scikit-learn,,['sklearn'],1026.0,73889186.0,897689.0,897689.0,https://pypi.org/project/scikit-learn,73291006.0,https://anaconda.org/conda-forge/scikit-learn,2024-09-11 20:00:28.266,31104850.0,1.0,,,,,,,,,,,,,,,,
