,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,trending,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-08-06 12:14:15.000000,2024-08-02 03:16:13,1565.0,6.0,692.0,117.0,336.0,61.0,145.0,4822.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,4.0,166.0,57.0,205.0,,3.0,2266.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,5.0,241.0,92.0,199.0,4.0,5.0,3576.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,5.0,241.0,92.0,199.0,4.0,5.0,3576.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,5.0,241.0,92.0,199.0,4.0,5.0,3576.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,5.0,241.0,92.0,199.0,4.0,5.0,3576.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-08-22 18:00:54.000000,2024-08-22 17:54:58,77471.0,4013.0,21400.0,1740.0,89535.0,13698.0,30650.0,81526.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5066.0,56,True,2024-07-24 18:39:28,2.4.0,54.0,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,['pytorch'],53766.0,34969741.0,510256.0,510256.0,https://pypi.org/project/torch,34307016.0,https://anaconda.org/pytorch/pytorch,2024-07-23 12:40:36.851,23175612.0,1.0,,,,,,,,,,,,,,,,
7,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-08-22 17:56:20.000000,2024-08-22 17:49:10,168665.0,3652.0,72539.0,7608.0,34039.0,1777.0,37877.0,187343.0,An Open Source Machine Learning Framework for Everyone.,4660.0,55,True,2024-07-11 16:28:57,2.17.0,100.0,tensorflow,conda-forge/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],,19196655.0,401450.0,401450.0,https://pypi.org/project/tensorflow,18355198.0,https://anaconda.org/conda-forge/tensorflow,2024-07-24 18:34:52.924,4869506.0,1.0,tensorflow/tensorflow,https://hub.docker.com/r/tensorflow/tensorflow,2024-08-22 12:48:54.110771,2520.0,77918423.0,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-08-22 17:42:39.000000,2024-08-22 17:42:39,16658.0,676.0,25033.0,1116.0,16977.0,988.0,14540.0,130921.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2766.0,52,True,2024-08-22 16:56:32,4.44.2,123.0,transformers,conda-forge/transformers,,"['pytorch', 'tensorflow']",,34615514.0,206091.0,206091.0,https://pypi.org/project/transformers,34575615.0,https://anaconda.org/conda-forge/transformers,2024-08-21 04:36:15.809,1955083.0,1.0,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-08-22 04:46:10.000000,2024-08-22 04:46:10,31610.0,275.0,24502.0,2139.0,17604.0,1562.0,9526.0,59231.0,scikit-learn: machine learning in Python.,3164.0,52,True,2024-07-03 09:17:35,1.5.1,51.0,scikit-learn,conda-forge/scikit-learn,,['sklearn'],1016.0,75468960.0,865130.0,865130.0,https://pypi.org/project/scikit-learn,74873479.0,https://anaconda.org/conda-forge/scikit-learn,2024-07-03 09:49:53.256,30369067.0,1.0,,,,,,,,,,,,,,,,
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-08-22 18:02:02.000000,2024-08-22 18:02:02,11033.0,1484.0,14189.0,678.0,14447.0,619.0,6809.0,91063.0,Build context-aware reasoning applications.,2770.0,49,True,2024-08-22 17:25:56,langchain-cli==0.0.30,100.0,langchain,,,,,13757736.0,117861.0,117861.0,https://pypi.org/project/langchain,13757736.0,,,,1.0,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-08-22 15:13:38.000000,2024-08-22 15:13:37,50949.0,528.0,7375.0,597.0,18287.0,1201.0,9234.0,19855.0,matplotlib: plotting with Python.,1714.0,48,True,2024-08-13 00:10:52,3.9.2,87.0,matplotlib,conda-forge/matplotlib,,,,74309198.0,1304331.0,1304331.0,https://pypi.org/project/matplotlib,73800866.0,https://anaconda.org/conda-forge/matplotlib,2024-08-15 23:10:55.726,25416619.0,1.0,,,,,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-08-22 01:17:42.000000,2024-08-22 01:17:29,18317.0,448.0,2075.0,220.0,5007.0,83.0,3055.0,12035.0,Python Imaging Library (Fork).,474.0,48,True,2024-07-01 09:51:39,10.4.0,56.0,Pillow,conda-forge/pillow,,,,116223741.0,1792778.0,1792778.0,https://pypi.org/project/Pillow,115343986.0,https://anaconda.org/conda-forge/pillow,2024-07-02 08:21:06.154,43108025.0,1.0,,,,,,,,,,,,,,,,
