,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-03-01 10:03:18.000000,2024-03-01 08:00:08,1539.0,4.0,636.0,114.0,312.0,47.0,134.0,4425.0,Benchmarks of approximate nearest neighbor libraries in Python.,99.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-03-07 16:25:02.000000,2024-03-07 16:25:01,317.0,27.0,158.0,54.0,186.0,,3.0,2129.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-03-07 16:25:09,2024.03.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-07 14:32:45.000000,2024-03-07 14:32:44,333.0,26.0,223.0,87.0,186.0,4.0,5.0,3343.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-03-07 14:32:51,2024.03.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-07 14:32:45.000000,2024-03-07 14:32:44,333.0,26.0,223.0,87.0,186.0,4.0,5.0,3343.0,Collection of database clients for python.,12.0,0,True,2024-03-07 14:32:51,2024.03.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-07 14:32:45.000000,2024-03-07 14:32:44,333.0,26.0,223.0,87.0,186.0,4.0,5.0,3343.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-03-07 14:32:51,2024.03.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-07 14:32:45.000000,2024-03-07 14:32:44,333.0,26.0,223.0,87.0,186.0,4.0,5.0,3343.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-03-07 14:32:51,2024.03.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-03-07 18:00:53.000000,2024-03-07 17:47:54,161215.0,4008.0,72155.0,7653.0,23807.0,1896.0,36894.0,183465.0,An Open Source Machine Learning Framework for Everyone.,4561.0,56,True,2023-11-14 18:46:08,2.15.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],348209.0,348209.0,https://pypi.org/project/tensorflow,20223740.0,21308140.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4499924.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-03-07 13:49:19.702298,2295.0,76297796.0,1.0,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-03-07 17:59:43.000000,2024-03-07 17:57:02,70311.0,3087.0,20176.0,1692.0,80788.0,12769.0,27552.0,76255.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4695.0,54,True,2024-02-22 21:15:00,2.2.1,50.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],402728.0,402728.0,https://pypi.org/project/torch,20063795.0,20744131.0,https://anaconda.org/pytorch/pytorch,2024-02-21 17:09:02.139,20398324.0,,,,,1.0,35314.0,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-03-07 17:50:12.000000,2024-03-07 11:05:45,31088.0,359.0,24176.0,2145.0,16918.0,1634.0,9096.0,57592.0,scikit-learn: machine learning in Python.,3085.0,51,True,2024-02-15 16:07:32,1.4.1.post1,47.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],716239.0,716239.0,https://pypi.org/project/scikit-learn,56370394.0,56944103.0,https://anaconda.org/conda-forge/scikit-learn,2024-02-16 10:16:19.766,26390206.0,,,,,1.0,942.0,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-03-07 17:47:23.000000,2024-03-07 17:30:28,15293.0,608.0,23170.0,1084.0,14936.0,777.0,13449.0,121600.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2455.0,50,True,2024-03-01 03:24:28,4.38.2,103.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",144822.0,144822.0,https://pypi.org/project/transformers,22247807.0,22282595.0,https://anaconda.org/conda-forge/transformers,2024-03-01 15:53:31.135,1530682.0,,,,,1.0,,,,,,,,,,,,
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-03-07 18:00:11.000000,2024-03-07 16:52:19,7964.0,1638.0,11603.0,637.0,10568.0,1353.0,4868.0,78538.0,Build context-aware reasoning applications.,2119.0,48,True,2024-03-05 08:05:54,0.1.11,100.0,langchain,,,,,62661.0,62661.0,https://pypi.org/project/langchain,6171563.0,6171563.0,,,,,,,,1.0,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-03-07 17:55:40.000000,2024-03-07 17:55:40,49641.0,406.0,7182.0,594.0,17749.0,1173.0,8930.0,18964.0,matplotlib: plotting with Python.,1649.0,48,True,2024-02-16 09:23:20,3.7.5,82.0,matplotlib,conda-forge/matplotlib,,,,1111762.0,1111762.0,https://pypi.org/project/matplotlib,58176890.0,58664381.0,https://anaconda.org/conda-forge/matplotlib,2024-02-15 20:37:52.070,21937137.0,,,,,1.0,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-03-07 17:18:25.000000,2024-03-07 09:18:41,17259.0,527.0,1969.0,223.0,4691.0,75.0,2940.0,11533.0,Python Imaging Library (Fork).,462.0,48,True,2024-01-02 09:38:41,10.2.0,54.0,Pillow,conda-forge/pillow,,,,1563170.0,1563170.0,https://pypi.org/project/Pillow,87818576.0,88645539.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,36386380.0,,,,,1.0,,10.0,,,,,,,,,,
13,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-03-07 17:58:53.000000,2024-03-07 12:37:36,19665.0,1103.0,2416.0,320.0,12654.0,1259.0,3722.0,26937.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",648.0,45,True,2024-02-26 16:01:19,jax-v0.4.25,97.0,jax,conda-forge/jaxlib,,,,22592.0,22592.0,https://pypi.org/project/jax,5903991.0,5927592.0,https://anaconda.org/conda-forge/jaxlib,2024-03-02 05:03:07.971,1062052.0,,,,,1.0,,,,,,,,,,,,
14,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-03-07 17:46:12.000000,2024-03-07 17:22:55,10202.0,221.0,3134.0,249.0,9998.0,637.0,6140.0,26384.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",932.0,45,True,2024-03-04 17:21:52,2.2.1,110.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],29597.0,29597.0,https://pypi.org/project/pytorch-lightning,4809264.0,4833104.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-03-05 21:00:43.443,1061663.0,,,,,1.0,8700.0,,Lightning-AI/pytorch-lightning,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-03-07 14:10:59.000000,2024-03-05 05:36:08,6777.0,111.0,8148.0,907.0,4996.0,362.0,4727.0,25376.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",637.0,45,True,2023-12-19 10:07:53,2.0.3,56.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,83037.0,83037.0,https://pypi.org/project/xgboost,15960988.0,16064933.0,https://anaconda.org/conda-forge/xgboost,2024-01-19 09:21:22.082,4570660.0,,,,,1.0,8130.0,,,,,,,,,,,
16,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-03-07 16:06:28.000000,2024-03-07 12:04:17,47212.0,1878.0,5238.0,721.0,44529.0,960.0,16827.0,21424.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1166.0,45,True,2024-01-08 06:43:49,2.6.0,61.0,paddlepaddle,,,,['paddle'],4726.0,4726.0,https://pypi.org/project/paddlepaddle,259323.0,259491.0,,,,,,,,1.0,15369.0,,,,,,,,,,,
17,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-03-05 03:01:41.000000,2024-02-28 12:40:58,15260.0,101.0,2632.0,280.0,3851.0,2573.0,2740.0,9378.0,Statsmodels: statistical modeling and econometrics in Python.,423.0,45,True,2023-12-14 14:31:51,0.14.1,26.0,statsmodels,conda-forge/statsmodels,,,,116862.0,116862.0,https://pypi.org/project/statsmodels,14422013.0,14695870.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12323567.0,,,,,1.0,30.0,,,,,,,,,,,
18,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-03-07 18:03:04.000000,2024-03-07 01:27:54,6146.0,170.0,2687.0,308.0,4187.0,734.0,3228.0,30591.0,Streamlit A faster way to build and share data apps.,221.0,44,True,2024-02-12 17:53:30,1.31.1,73.0,streamlit,,,,,324101.0,324101.0,https://pypi.org/project/streamlit,5658771.0,5658771.0,,,,,,,,1.0,,,,,,,,,,,,
19,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-03-07 18:14:24.000000,2024-03-07 18:02:29,20923.0,825.0,5018.0,469.0,26584.0,3091.0,13809.0,30233.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,982.0,44,True,2024-02-22 19:57:55,ray-2.9.3,79.0,ray,conda-forge/ray-tune,,,,14076.0,14076.0,https://pypi.org/project/ray,3380674.0,3385537.0,https://anaconda.org/conda-forge/ray-tune,2024-03-07 01:45:05.697,189588.0,,,,,1.0,208.0,,,,,,,,,,,
20,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-03-07 13:56:38.000000,2024-02-20 12:17:51,16117.0,33.0,4177.0,554.0,3965.0,83.0,5479.0,28396.0,Industrial-strength Natural Language Processing (NLP) in Python.,748.0,44,True,2024-02-15 19:16:59,3.7.4,100.0,spacy,conda-forge/spacy,,,,81923.0,81923.0,https://pypi.org/project/spacy,6438385.0,6512603.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3339851.0,,,,,1.0,,,,,,,,,,,,
21,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-03-07 18:11:33.000000,2024-03-07 18:11:32,5539.0,415.0,3742.0,292.0,7656.0,1109.0,2365.0,16904.0,Open source platform for the machine learning lifecycle.,707.0,44,True,2024-03-06 08:35:11,2.11.1,85.0,mlflow,conda-forge/mlflow,,,,31402.0,31402.0,https://pypi.org/project/mlflow,15384263.0,15423293.0,https://anaconda.org/conda-forge/mlflow,2024-03-07 11:22:53.008,1756383.0,,,,,1.0,,,,,,,,,,,,
22,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-03-07 12:46:31.000000,2024-02-15 16:34:58,6368.0,105.0,2428.0,281.0,1610.0,1417.0,1393.0,14958.0,The interactive graphing library for Python This project now includes Plotly Express!.,257.0,44,True,2024-02-15 15:49:11,5.19.0,98.0,plotly,conda-forge/plotly,,,,245268.0,245268.0,https://pypi.org/project/plotly,13197259.0,13320906.0,https://anaconda.org/conda-forge/plotly,2024-02-15 18:15:23.292,5315271.0,,,,,1.0,,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,8098.0,,,,,,
23,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-03-07 18:14:34.000000,2024-03-07 17:52:31,57238.0,475.0,4114.0,294.0,12997.0,4288.0,8678.0,11917.0,A computer algebra system written in pure Python.,1278.0,44,True,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,116573.0,116573.0,https://pypi.org/project/sympy,15930071.0,15987901.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,5043463.0,,,,,1.0,534749.0,,,,,,,,,,,
