,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-08-06 12:14:15.000,2024-08-02 03:16:13,1565.0,6.0,693.0,117.0,336.0,61.0,145.0,4827.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000,2024-06-06 19:06:33,346.0,2.0,166.0,57.0,205.0,,3.0,2270.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,3.0,241.0,93.0,199.0,4.0,5.0,3588.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,3.0,241.0,93.0,199.0,4.0,5.0,3588.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,3.0,241.0,93.0,199.0,4.0,5.0,3588.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,3.0,241.0,93.0,199.0,4.0,5.0,3588.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-08-29 18:00:59.000,2024-08-29 17:22:52,77836.0,4080.0,21440.0,1741.0,89920.0,13746.0,30739.0,81690.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5086.0,56,True,2024-07-24 18:39:28,2.4.0,54.0,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,['pytorch'],54406.0,35416923.0,514367.0,514367.0,https://pypi.org/project/torch,34751220.0,https://anaconda.org/pytorch/pytorch,2024-07-23 12:40:36.851,23279598.0,1.0,,,,,,,,,,,,,,,,
7,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-08-29 17:59:55.000,2024-08-29 17:59:46,168968.0,3737.0,72548.0,7606.0,34489.0,1728.0,37951.0,187487.0,An Open Source Machine Learning Framework for Everyone.,4666.0,55,True,2024-07-11 16:28:57,2.17.0,100.0,tensorflow,conda-forge/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],,19091608.0,403520.0,403520.0,https://pypi.org/project/tensorflow,18249013.0,https://anaconda.org/conda-forge/tensorflow,2024-08-27 11:41:44.395,4895593.0,1.0,tensorflow/tensorflow,https://hub.docker.com/r/tensorflow/tensorflow,2024-08-29 12:49:04.802798,2528.0,77981988.0,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-08-29 18:02:07.000,2024-08-29 13:55:02,16707.0,670.0,25097.0,1118.0,17180.0,999.0,14577.0,131301.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2782.0,52,True,2024-08-22 16:56:32,4.44.2,124.0,transformers,conda-forge/transformers,,"['pytorch', 'tensorflow']",,35226133.0,208704.0,208704.0,https://pypi.org/project/transformers,35185707.0,https://anaconda.org/conda-forge/transformers,2024-08-23 08:59:54.225,1980881.0,1.0,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-08-29 12:15:43.000,2024-08-29 12:15:43,31623.0,270.0,24506.0,2140.0,17629.0,1564.0,9532.0,59279.0,scikit-learn: machine learning in Python.,3165.0,52,True,2024-07-03 09:17:35,1.5.1,51.0,scikit-learn,conda-forge/scikit-learn,,['sklearn'],1018.0,74418919.0,871547.0,871547.0,https://pypi.org/project/scikit-learn,73819994.0,https://anaconda.org/conda-forge/scikit-learn,2024-07-03 09:49:53.256,30544681.0,1.0,,,,,,,,,,,,,,,,
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-08-29 17:54:43.000,2024-08-29 17:54:43,11155.0,1552.0,14254.0,679.0,14546.0,596.0,6857.0,91427.0,Build context-aware reasoning applications.,2806.0,49,True,2024-08-29 12:55:23,langchain-prompty==0.0.3,100.0,langchain,,,,,13500009.0,120238.0,120238.0,https://pypi.org/project/langchain,13500009.0,,,,1.0,,,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-08-26 20:00:00.000,2024-08-23 18:31:22,50966.0,517.0,7380.0,596.0,18296.0,1205.0,9236.0,19892.0,matplotlib: plotting with Python.,1717.0,48,True,2024-08-13 00:10:52,3.9.2,87.0,matplotlib,conda-forge/matplotlib,,,,73254503.0,1312029.0,1312029.0,https://pypi.org/project/matplotlib,72743361.0,https://anaconda.org/conda-forge/matplotlib,2024-08-22 20:32:53.714,25557122.0,1.0,,,,,,,,,,,,,,,,
