,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-09-02 06:22:28.000,2024-09-02 06:22:28,1567.0,5.0,702.0,117.0,338.0,63.0,145.0,4880.0,Benchmarks of approximate nearest neighbor libraries in Python.,107.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000,2024-06-06 19:06:33,346.0,,168.0,58.0,205.0,,3.0,2294.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,1.0,244.0,93.0,199.0,5.0,6.0,3631.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,1.0,244.0,93.0,199.0,5.0,6.0,3631.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,1.0,244.0,93.0,199.0,5.0,6.0,3631.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,1.0,244.0,93.0,199.0,5.0,6.0,3631.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-10-03 18:07:11.000,2024-10-03 18:06:45,79084.0,3883.0,21771.0,1741.0,91464.0,13978.0,31475.0,82651.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5150.0,56,True,2024-09-04 19:59:29,2.4.1,55.0,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,['pytorch'],59118.0,35226882.0,536635.0,536635.0,https://pypi.org/project/torch,34582793.0,https://anaconda.org/pytorch/pytorch,2024-09-03 16:47:49.313,23808776.0,1.0,,,,,,,,,,,,,,,,
7,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-10-03 18:04:41.000,2024-10-03 17:57:50,170406.0,3815.0,72643.0,7596.0,36553.0,1567.0,38251.0,188383.0,An Open Source Machine Learning Framework for Everyone.,4688.0,55,True,2024-07-11 16:28:57,2.17.0,100.0,tensorflow,conda-forge/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],,18340103.0,414330.0,414330.0,https://pypi.org/project/tensorflow,17511392.0,https://anaconda.org/conda-forge/tensorflow,2024-08-31 23:00:17.783,4980394.0,1.0,tensorflow/tensorflow,https://hub.docker.com/r/tensorflow/tensorflow,2024-10-03 12:48:36.001955,2564.0,78223205.0,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-10-03 17:58:16.000,2024-10-03 16:08:24,17010.0,730.0,25490.0,1116.0,17636.0,1020.0,14820.0,132900.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2856.0,52,True,2024-09-26 18:07:17,4.45.1,126.0,transformers,conda-forge/transformers,,"['pytorch', 'tensorflow']",,36573342.0,222291.0,222291.0,https://pypi.org/project/transformers,36532493.0,https://anaconda.org/conda-forge/transformers,2024-09-28 18:07:52.119,2083329.0,1.0,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-10-03 07:46:59.000,2024-10-03 07:46:58,31738.0,261.0,24582.0,2140.0,17824.0,1551.0,9603.0,59633.0,scikit-learn: machine learning in Python.,3185.0,52,True,2024-09-11 15:52:05,1.5.2,52.0,scikit-learn,conda-forge/scikit-learn,,['sklearn'],1027.0,76644771.0,904541.0,904541.0,https://pypi.org/project/scikit-learn,76055259.0,https://anaconda.org/conda-forge/scikit-learn,2024-09-11 20:00:28.266,31243639.0,1.0,,,,,,,,,,,,,,,,
