,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,trending,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-03-08 05:50:03.000,2024-03-01 08:00:08,1539.0,4.0,639.0,115.0,312.0,48.0,134.0,4446.0,Benchmarks of approximate nearest neighbor libraries in Python.,99.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-03-14 17:35:21.000,2024-03-14 17:35:21,319.0,29.0,158.0,54.0,189.0,,3.0,2136.0,Collection of web-scraping and crawling libraries.,14.0,0,True,2024-03-14 17:35:28,2024.03.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-14 16:05:23.000,2024-03-14 16:05:22,335.0,27.0,225.0,87.0,187.0,4.0,5.0,3346.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-03-14 16:05:28,2024.03.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-14 16:05:23.000,2024-03-14 16:05:22,335.0,27.0,225.0,87.0,187.0,4.0,5.0,3346.0,Collection of database clients for python.,12.0,0,True,2024-03-14 16:05:28,2024.03.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-14 16:05:23.000,2024-03-14 16:05:22,335.0,27.0,225.0,87.0,187.0,4.0,5.0,3346.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-03-14 16:05:28,2024.03.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-03-14 16:05:23.000,2024-03-14 16:05:22,335.0,27.0,225.0,87.0,187.0,4.0,5.0,3346.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-03-14 16:05:28,2024.03.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-03-14 18:00:43.000,2024-03-14 17:47:01,161550.0,4061.0,72176.0,7650.0,24263.0,1929.0,36929.0,183606.0,An Open Source Machine Learning Framework for Everyone.,4567.0,56,True,2024-03-08 19:09:29,2.15.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],350126.0,350126.0,https://pypi.org/project/tensorflow,21224553.0,22310076.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4505146.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-03-14 12:52:25.728969,2320.0,76372730.0,1.0,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-03-14 18:01:19.000,2024-03-14 18:01:09,70568.0,3052.0,20225.0,1693.0,81118.0,12784.0,27697.0,76524.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4714.0,54,True,2024-02-22 21:15:00,2.2.1,50.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],406805.0,406805.0,https://pypi.org/project/torch,20974347.0,21656886.0,https://anaconda.org/pytorch/pytorch,2024-02-21 17:09:02.139,20464289.0,,,,,1.0,35781.0,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-03-14 17:43:16.000,2024-03-14 14:48:20,31103.0,357.0,24188.0,2146.0,16942.0,1634.0,9107.0,57652.0,scikit-learn: machine learning in Python.,3088.0,51,True,2024-02-15 16:07:32,1.4.1.post1,47.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],721506.0,721506.0,https://pypi.org/project/scikit-learn,59208130.0,59783377.0,https://anaconda.org/conda-forge/scikit-learn,2024-02-16 10:16:19.766,26460951.0,,,,,1.0,942.0,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-03-14 17:57:57.000,2024-03-14 16:35:31,15358.0,596.0,23263.0,1087.0,15016.0,785.0,13498.0,122090.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2468.0,50,True,2024-03-01 03:24:28,4.38.2,103.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",146964.0,146964.0,https://pypi.org/project/transformers,22133209.0,22168149.0,https://anaconda.org/conda-forge/transformers,2024-03-01 15:53:31.135,1537391.0,,,,,1.0,,,,,,,,,,,,
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-03-14 18:01:20.000,2024-03-14 17:40:34,8094.0,1664.0,11751.0,638.0,10753.0,1277.0,5004.0,79202.0,Build context-aware reasoning applications.,2147.0,48,True,2024-03-13 00:27:59,0.1.12,100.0,langchain,,,,,64640.0,64640.0,https://pypi.org/project/langchain,6433366.0,6433366.0,,,,,,,,1.0,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-03-14 17:39:41.000,2024-03-14 17:39:33,49920.0,552.0,7188.0,594.0,17782.0,1167.0,8949.0,19000.0,matplotlib: plotting with Python.,1655.0,48,True,2024-02-16 09:23:20,3.7.5,82.0,matplotlib,conda-forge/matplotlib,,,,1119399.0,1119399.0,https://pypi.org/project/matplotlib,59759500.0,60248284.0,https://anaconda.org/conda-forge/matplotlib,2024-02-15 20:37:52.070,21995313.0,,,,,1.0,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-03-14 18:01:16.000,2024-03-14 12:02:19,17360.0,605.0,1975.0,223.0,4700.0,72.0,2950.0,11566.0,Python Imaging Library (Fork).,463.0,48,True,2024-01-02 09:38:41,10.2.0,54.0,Pillow,conda-forge/pillow,,,,1572556.0,1572556.0,https://pypi.org/project/Pillow,89667644.0,90497373.0,https://anaconda.org/conda-forge/pillow,2024-01-03 04:54:52.877,36508098.0,,,,,1.0,,,,,,,,,,,,
13,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-03-14 17:54:21.000,2024-03-14 17:54:16,19783.0,1117.0,2424.0,321.0,12754.0,1258.0,3747.0,27034.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",658.0,45,True,2024-02-26 16:01:19,jax-v0.4.25,97.0,jax,conda-forge/jaxlib,,,,22827.0,22827.0,https://pypi.org/project/jax,5857811.0,5881534.0,https://anaconda.org/conda-forge/jaxlib,2024-03-13 02:26:06.433,1067556.0,,,,,1.0,,,,,,,,,,,,
14,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-03-14 17:43:45.000,2024-03-14 16:01:35,10211.0,203.0,3151.0,249.0,10010.0,648.0,6153.0,26462.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",935.0,45,True,2024-03-04 17:21:52,2.2.1,110.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],29816.0,29816.0,https://pypi.org/project/pytorch-lightning,4797392.0,4821304.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-03-05 21:00:43.443,1064844.0,,,,,1.0,8738.0,Lightning-AI/pytorch-lightning,,,,,,,,,,
15,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-03-14 17:46:47.000,2024-03-14 17:46:46,6784.0,105.0,8153.0,909.0,5012.0,360.0,4740.0,25409.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",637.0,45,True,2023-12-19 10:07:53,2.0.3,56.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,83867.0,83867.0,https://pypi.org/project/xgboost,17242699.0,17346889.0,https://anaconda.org/conda-forge/xgboost,2024-01-19 09:21:22.082,4581417.0,,,,,1.0,8156.0,,,,,,,,,,,
16,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-03-14 16:36:14.000,2024-03-14 14:48:40,47341.0,1849.0,5251.0,721.0,44698.0,965.0,16847.0,21457.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1169.0,45,True,2024-01-08 06:43:49,2.6.0,61.0,paddlepaddle,,,,['paddle'],4764.0,4764.0,https://pypi.org/project/paddlepaddle,263934.0,264102.0,,,,,,,,1.0,15369.0,,,,,,,,,,,
17,StatsModels,statsmodels/statsmodels,ml-frameworks,,https://github.com/statsmodels/statsmodels,https://github.com/statsmodels/statsmodels,BSD-3-Clause,2011-06-12 17:04:50.000,2024-03-14 02:50:10.000,2024-02-28 12:40:58,15260.0,80.0,2635.0,280.0,3851.0,2577.0,2740.0,9397.0,Statsmodels: statistical modeling and econometrics in Python.,423.0,45,True,2023-12-14 14:31:51,0.14.1,26.0,statsmodels,conda-forge/statsmodels,,,,117561.0,117561.0,https://pypi.org/project/statsmodels,15260678.0,15535499.0,https://anaconda.org/conda-forge/statsmodels,2023-12-14 18:03:00.804,12366946.0,,,,,1.0,30.0,,,,,,,,,,,
18,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-03-14 17:39:51.000,2024-03-14 02:10:09,6167.0,187.0,2699.0,309.0,4212.0,737.0,3245.0,30727.0,Streamlit A faster way to build and share data apps.,222.0,44,True,2024-03-14 15:16:16,1.32.2,76.0,streamlit,,,,,329316.0,329316.0,https://pypi.org/project/streamlit,5987873.0,5987873.0,,,,,,,,1.0,,,,,,,,,,,,
19,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-03-14 18:05:47.000,2024-03-14 17:27:46,21022.0,834.0,5036.0,471.0,26715.0,3100.0,13891.0,30349.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,985.0,44,True,2024-02-22 19:57:55,ray-2.9.3,79.0,ray,conda-forge/ray-tune,,,,14182.0,14182.0,https://pypi.org/project/ray,3424715.0,3429596.0,https://anaconda.org/conda-forge/ray-tune,2024-03-07 01:45:05.697,190306.0,,,,,1.0,208.0,,,,,,,,,,,
20,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2024-03-07 13:56:38.000,2024-02-20 12:17:51,16117.0,28.0,4183.0,554.0,3965.0,84.0,5479.0,28439.0,Industrial-strength Natural Language Processing (NLP) in Python.,748.0,44,True,2024-02-15 19:16:59,3.7.4,100.0,spacy,conda-forge/spacy,,,,82503.0,82503.0,https://pypi.org/project/spacy,6515447.0,6589732.0,https://anaconda.org/conda-forge/spacy,2023-11-05 20:08:03.012,3342842.0,,,,,1.0,,,,,,,,,,,,
21,mlflow,mlflow/mlflow,ml-experiments,,https://github.com/mlflow/mlflow,https://github.com/mlflow/mlflow,Apache-2.0,2018-06-05 16:05:58.000,2024-03-14 17:57:27.000,2024-03-14 08:45:48,5571.0,419.0,3751.0,292.0,7699.0,1122.0,2371.0,16945.0,Open source platform for the machine learning lifecycle.,707.0,44,True,2024-03-06 08:35:11,2.11.1,85.0,mlflow,conda-forge/mlflow,,,,31840.0,31840.0,https://pypi.org/project/mlflow,14736771.0,14776034.0,https://anaconda.org/conda-forge/mlflow,2024-03-08 02:03:24.341,1766844.0,,,,,1.0,,,,,,,,,,,,
22,Plotly,plotly/plotly.py,data-viz,,https://github.com/plotly/plotly.py,https://github.com/plotly/plotly.py,MIT,2013-11-21 05:53:08.000,2024-03-14 14:07:31.000,2024-03-13 17:05:06,6380.0,114.0,2433.0,281.0,1616.0,1416.0,1395.0,15004.0,The interactive graphing library for Python This project now includes Plotly Express!.,257.0,44,True,2024-03-13 16:27:36,5.20.0,98.0,plotly,conda-forge/plotly,,,,247245.0,247245.0,https://pypi.org/project/plotly,13550076.0,13674111.0,https://anaconda.org/conda-forge/plotly,2024-02-15 18:15:23.292,5341269.0,,,,,1.0,,,plotlywidget,https://www.npmjs.com/package/plotlywidget,7921.0,,,,,,,
23,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-03-14 14:04:32.000,2024-03-14 14:04:31,57313.0,519.0,4132.0,294.0,13019.0,4285.0,8691.0,11941.0,A computer algebra system written in pure Python.,1283.0,44,True,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,118241.0,118241.0,https://pypi.org/project/sympy,18214420.0,18272513.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,5067495.0,,,,,1.0,535585.0,,,,,,,,,,,
24,Seaborn,mwaskom/seaborn,data-viz,,https://github.com/mwaskom/seaborn,https://github.com/mwaskom/seaborn,BSD-3-Clause,2012-06-18 18:41:19.000,2024-03-04 05:08:14.000,2024-02-25 16:31:25,3230.0,17.0,1770.0,259.0,1091.0,122.0,2357.0,11793.0,Statistical data visualization in Python.,211.0,44,True,2024-01-25 13:21:20,0.13.2,37.0,seaborn,conda-forge/seaborn,,,,375823.0,375823.0,https://pypi.org/project/seaborn,17474056.0,17655512.0,https://anaconda.org/conda-forge/seaborn,2024-01-27 07:37:15.644,8165420.0,,,,,1.0,376.0,,,,,,,,,,,
25,Tensorboard,tensorflow/tensorboard,ml-experiments,,https://github.com/tensorflow/tensorboard,https://github.com/tensorflow/tensorboard,Apache-2.0,2017-05-15 20:08:07.000,2024-03-14 16:13:12.000,2024-03-12 18:49:47,5783.0,48.0,1591.0,193.0,4942.0,599.0,1224.0,6494.0,TensorFlows Visualization Toolkit.,316.0,44,True,2024-02-16 19:55:52,2.16.2,60.0,tensorboard,conda-forge/tensorboard,,,['tensorflow'],220214.0,220214.0,https://pypi.org/project/tensorboard,27050601.0,27151333.0,https://anaconda.org/conda-forge/tensorboard,2024-02-18 19:53:36.212,4532945.0,,,,,1.0,,,,,,,,,,,,
26,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2024-03-14 17:56:17.000,2024-03-14 17:56:14,10376.0,203.0,18631.0,1910.0,6981.0,204.0,11451.0,60639.0,Deep Learning for humans.,1281.0,43,True,2024-03-11 16:04:05,3.1.0,60.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],,,https://pypi.org/project/keras,17269540.0,17344987.0,https://anaconda.org/conda-forge/keras,2024-02-15 07:10:55.798,3395153.0,,,,,2.0,,,,,,,,,,,,
27,llama_index,run-llama/llama_index,nlp,,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index,MIT,2022-11-02 04:24:54.000,2024-03-14 17:53:10.000,2024-03-14 15:33:43,3542.0,1148.0,3768.0,221.0,3968.0,500.0,2646.0,29251.0,LlamaIndex is a data framework for your LLM applications.,754.0,43,True,2024-03-12 22:47:30,0.10.19,100.0,llama-index,,,,,5975.0,5975.0,https://pypi.org/project/llama-index,2007868.0,2008016.0,,,,,,,,1.0,592.0,,,,,,,,,,,
28,Gradio,gradio-app/gradio,model-serialisation,,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio,Apache-2.0,2018-12-19 08:24:04.000,2024-03-14 18:15:16.000,2024-03-14 17:42:55,6382.0,341.0,1985.0,151.0,3456.0,453.0,3411.0,27532.0,"Build and share delightful machine learning apps, all in Python. Star to support our work!.",265.0,43,True,2024-03-09 00:41:17,@gradio/wasm@0.8.0,100.0,gradio,,,,,24904.0,24904.0,https://pypi.org/project/gradio,6219653.0,6219653.0,,,,,,,,1.0,,,,,,,,,,,,
29,Bokeh,bokeh/bokeh,data-viz,,https://github.com/bokeh/bokeh,https://github.com/bokeh/bokeh,BSD-3-Clause,2012-03-26 15:40:01.000,2024-03-14 17:34:24.000,2024-03-14 17:34:07,20429.0,93.0,4097.0,443.0,6006.0,719.0,6848.0,18666.0,"Interactive Data Visualization in the browser, from Python.",688.0,43,True,,,58.0,bokeh,conda-forge/bokeh,,,,84907.0,84907.0,https://pypi.org/project/bokeh,4702275.0,5001586.0,https://anaconda.org/conda-forge/bokeh,2024-01-25 20:54:18.325,13469027.0,,,,,1.0,,,,,,,,,,,,
30,onnx,onnx/onnx,model-serialisation,,https://github.com/onnx/onnx,https://github.com/onnx/onnx,Apache-2.0,2017-09-07 04:53:45.000,2024-03-14 14:15:25.000,2024-03-13 05:57:07,2689.0,79.0,3524.0,439.0,3150.0,280.0,2380.0,16580.0,Open standard for machine learning interoperability.,309.0,43,True,2023-10-31 17:04:56,1.15.0,27.0,onnx,conda-forge/onnx,,,,24872.0,24872.0,https://pypi.org/project/onnx,5261825.0,5282819.0,https://anaconda.org/conda-forge/onnx,2024-03-13 23:35:28.732,932993.0,,,,,1.0,20126.0,,,,,,,,,,,
31,LightGBM,microsoft/LightGBM,ml-frameworks,,https://github.com/microsoft/LightGBM,https://github.com/microsoft/LightGBM,MIT,2016-08-05 05:45:50.000,2024-03-11 11:25:18.000,2024-03-04 18:06:08,3435.0,44.0,3680.0,435.0,3092.0,330.0,2923.0,15927.0,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision..",296.0,43,True,2024-01-26 02:11:11,4.3.0,31.0,lightgbm,conda-forge/lightgbm,,,,30610.0,30610.0,https://pypi.org/project/lightgbm,8296747.0,8351909.0,https://anaconda.org/conda-forge/lightgbm,2024-01-26 13:26:41.503,2207488.0,,,,,2.0,216100.0,,,,,,,,,,,
32,pydeck,visgl/deck.gl,geospatial-data,,https://github.com/visgl/deck.gl,https://github.com/visgl/deck.gl,MIT,2015-12-15 08:38:29.000,2024-03-14 17:34:02.000,2024-03-14 15:56:51,4755.0,161.0,1997.0,1693.0,4599.0,257.0,2644.0,11600.0,WebGL2 powered visualization framework.,253.0,43,True,2024-02-28 21:42:36,8.9.35,100.0,pydeck,conda-forge/pydeck,,,['jupyter'],7271.0,7271.0,https://pypi.org/project/pydeck,3135137.0,3571873.0,https://anaconda.org/conda-forge/pydeck,2023-06-16 19:17:51.392,484375.0,,,,,1.0,,,deck.gl,https://www.npmjs.com/package/deck.gl,426851.0,,,,,,,
33,DeepSpeed,microsoft/DeepSpeed,distributed-ml,,https://github.com/microsoft/DeepSpeed,https://github.com/microsoft/DeepSpeed,Apache-2.0,2020-01-23 18:35:18.000,2024-03-14 18:04:07.000,2024-03-13 22:33:44,2206.0,210.0,3637.0,318.0,2603.0,869.0,1551.0,31847.0,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and..",292.0,42,True,2024-03-08 01:10:38,0.14.0,72.0,deepspeed,,deepspeed/deepspeed,,['pytorch'],6091.0,6091.0,https://pypi.org/project/deepspeed,477706.0,478061.0,,,,https://hub.docker.com/r/deepspeed/deepspeed,2022-09-02 00:25:31.275782,4.0,17794.0,1.0,,,,,,,,,,,,
34,networkx,networkx/networkx,graph,,https://github.com/networkx/networkx,https://github.com/networkx/networkx,,2010-09-06 00:53:44.000,2024-03-14 09:11:29.000,2024-03-13 16:42:43,7637.0,105.0,3034.0,276.0,3695.0,166.0,2972.0,14005.0,Network Analysis in Python.,712.0,42,True,2023-10-28 09:53:23,networkx-3.2.1,54.0,networkx,conda-forge/networkx,,,,231863.0,231863.0,https://pypi.org/project/networkx,48828481.0,49174924.0,https://anaconda.org/conda-forge/networkx,2023-10-28 14:55:59.129,14897050.0,,,,,1.0,65.0,,,,,,,,,,,
35,nltk,nltk/nltk,nlp,,https://github.com/nltk/nltk,https://github.com/nltk/nltk,Apache-2.0,2009-09-07 10:53:58.000,2024-03-11 14:42:17.000,2024-01-29 09:04:39,14509.0,27.0,2715.0,468.0,1452.0,244.0,1513.0,12894.0,Suite of libraries and programs for symbolic and statistical natural language processing for English.,454.0,42,True,,,17.0,nltk,conda-forge/nltk,,,,257499.0,257499.0,https://pypi.org/project/nltk,16900775.0,16927497.0,https://anaconda.org/conda-forge/nltk,2023-06-16 13:20:53.756,2431770.0,,,,,1.0,,,,,,,,,,,,
36,dask,dask/dask,distributed-ml,,https://github.com/dask/dask,https://github.com/dask/dask,BSD-3-Clause,2015-01-04 18:50:00.000,2024-03-14 17:06:18.000,2024-03-13 01:20:07,8133.0,182.0,1631.0,212.0,5761.0,855.0,4122.0,11879.0,Parallel computing with task scheduling.,595.0,42,True,,,167.0,dask,conda-forge/dask,,,,58098.0,58098.0,https://pypi.org/project/dask,7225691.0,7460327.0,https://anaconda.org/conda-forge/dask,2024-03-13 10:03:38.154,10793293.0,,,,,1.0,,,,,,stable/dask,-1.0,,,,,
37,scikit-image,scikit-image/scikit-image,image,,https://github.com/scikit-image/scikit-image,https://github.com/scikit-image/scikit-image,,2011-07-07 22:07:20.000,2024-03-14 16:07:07.000,2024-03-14 10:25:03,13874.0,86.0,2123.0,186.0,4364.0,537.0,2053.0,5817.0,Image processing in Python.,654.0,42,True,2023-10-03 21:36:37,0.22.0,23.0,scikit-image,conda-forge/scikit-image,,,,173100.0,173100.0,https://pypi.org/project/scikit-image,15583809.0,15717272.0,https://anaconda.org/conda-forge/scikit-image,2023-10-11 16:58:18.971,6005871.0,,,,,1.0,,,,,,,,,,,,
