,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-04-11 14:10:38.000000,2024-04-08 09:13:56,1547.0,11.0,655.0,116.0,322.0,52.0,136.0,4550.0,Benchmarks of approximate nearest neighbor libraries in Python.,102.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-04-11 16:46:52.000000,2024-04-11 09:57:43,328.0,29.0,161.0,54.0,196.0,,3.0,2157.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-04-04 17:10:54,2024.04.04,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-11 18:08:26.000000,2024-04-11 18:08:26,343.0,26.0,225.0,86.0,191.0,4.0,5.0,3391.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-04-11 18:08:32,2024.04.11,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-11 18:08:26.000000,2024-04-11 18:08:26,343.0,26.0,225.0,86.0,191.0,4.0,5.0,3391.0,Collection of database clients for python.,12.0,0,True,2024-04-11 18:08:32,2024.04.11,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-11 18:08:26.000000,2024-04-11 18:08:26,343.0,26.0,225.0,86.0,191.0,4.0,5.0,3391.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-04-11 18:08:32,2024.04.11,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-04-11 18:08:26.000000,2024-04-11 18:08:26,343.0,26.0,225.0,86.0,191.0,4.0,5.0,3391.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-04-11 18:08:32,2024.04.11,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-04-11 17:44:44.000000,2024-04-11 17:44:35,162766.0,4375.0,72270.0,7640.0,25834.0,1900.0,37118.0,184536.0,An Open Source Machine Learning Framework for Everyone.,4587.0,57,True,2024-03-08 19:09:29,2.15.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],358259.0,358259.0,https://pypi.org/project/tensorflow,23111717.0,24173976.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4535242.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-04-11 13:22:19.820675,2368.0,76750991.0,1.0,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-04-11 18:01:14.000000,2024-04-11 17:47:07,71631.0,3373.0,20473.0,1698.0,82461.0,12852.0,28227.0,77421.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4770.0,55,True,2024-03-27 22:27:02,2.2.2,51.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],423926.0,423926.0,https://pypi.org/project/torch,26218428.0,26890748.0,https://anaconda.org/pytorch/pytorch,2024-03-26 22:24:03.907,20829018.0,,,,,1.0,38034.0,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-04-11 17:59:05.000000,2024-04-11 17:59:05,31191.0,391.0,24247.0,2144.0,17067.0,1634.0,9157.0,57969.0,scikit-learn: machine learning in Python.,3103.0,52,True,2024-04-09 20:07:22,1.4.2,48.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],744829.0,744829.0,https://pypi.org/project/scikit-learn,64084777.0,64664563.0,https://anaconda.org/conda-forge/scikit-learn,2024-04-11 09:12:54.843,27249545.0,,,,,1.0,944.0,1.0,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-04-11 18:02:25.000000,2024-04-11 16:23:55,15577.0,689.0,23687.0,1094.0,15322.0,806.0,13701.0,124106.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2525.0,51,True,2024-04-02 09:36:10,4.39.3,107.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",156334.0,156334.0,https://pypi.org/project/transformers,24387841.0,24422988.0,https://anaconda.org/conda-forge/transformers,2024-04-02 14:17:57.574,1581621.0,,,,,1.0,,1.0,,,,,,,,,,
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-04-11 17:55:34.000000,2024-04-11 17:29:42,8686.0,1806.0,12261.0,643.0,11460.0,1013.0,5482.0,81866.0,Build context-aware reasoning applications.,2300.0,49,True,2024-04-11 16:33:19,0.1.16,100.0,langchain,,,,,73015.0,73015.0,https://pypi.org/project/langchain,7185178.0,7185178.0,,,,,,,,1.0,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-04-11 13:17:07.000000,2024-04-10 22:21:12,50127.0,607.0,7224.0,594.0,17870.0,1154.0,9008.0,19172.0,matplotlib: plotting with Python.,1664.0,48,True,2024-04-04 00:27:55,3.8.4,84.0,matplotlib,conda-forge/matplotlib,,,,1149804.0,1149804.0,https://pypi.org/project/matplotlib,61709625.0,62202213.0,https://anaconda.org/conda-forge/matplotlib,2024-04-09 16:56:24.718,22659060.0,,,,,1.0,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-04-11 12:56:30.000000,2024-04-11 10:47:05,17632.0,623.0,1982.0,221.0,4758.0,65.0,2979.0,11649.0,Python Imaging Library (Fork).,464.0,48,True,2024-04-01 12:34:53,10.3.0,55.0,Pillow,conda-forge/pillow,,,,1609917.0,1609917.0,https://pypi.org/project/Pillow,93258369.0,94094696.0,https://anaconda.org/conda-forge/pillow,2024-04-03 15:56:48.771,37634756.0,,,,,1.0,,,,,,,,,,,,
13,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-04-11 18:13:26.000000,2024-04-11 18:13:23,6236.0,211.0,2733.0,308.0,4321.0,766.0,3289.0,31301.0,Streamlit A faster way to build and share data apps.,224.0,46,True,2024-04-04 17:36:56,1.33.0,77.0,streamlit,,,,,351794.0,351794.0,https://pypi.org/project/streamlit,4051732.0,4051732.0,,,,,,,,1.0,,,,,,,,,,,,
14,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-04-11 18:10:04.000000,2024-04-10 11:55:02,57428.0,513.0,4218.0,294.0,13094.0,4309.0,8719.0,12346.0,A computer algebra system written in pure Python.,1290.0,46,True,2024-03-31 22:49:13,1.12.1rc1,46.0,sympy,conda-forge/sympy,,,,125458.0,125458.0,https://pypi.org/project/sympy,28491004.0,28550127.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,5220437.0,,,,,1.0,538254.0,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-04-11 18:03:34.000000,2024-04-11 17:45:06,21277.0,902.0,5109.0,469.0,27119.0,3168.0,14105.0,30866.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,997.0,45,True,2024-03-21 19:02:34,ray-2.10.0,80.0,ray,conda-forge/ray-tune,,,,14724.0,14724.0,https://pypi.org/project/ray,3690809.0,3695652.0,https://anaconda.org/conda-forge/ray-tune,2024-03-24 13:08:51.334,193645.0,,,,,1.0,210.0,,,,,,,,,,,
16,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-04-11 17:58:46.000000,2024-04-11 17:58:40,20172.0,1226.0,2495.0,320.0,13077.0,1287.0,3800.0,27751.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",670.0,45,True,2024-04-03 22:09:19,jax-v0.4.26,99.0,jax,conda-forge/jaxlib,,,,23841.0,23841.0,https://pypi.org/project/jax,5686537.0,5710316.0,https://anaconda.org/conda-forge/jaxlib,2024-04-07 22:22:00.984,1093879.0,,,,,1.0,,,,,,,,,,,,
17,pytorch-lightning,Lightning-AI/lightning,ml-frameworks,,https://github.com/Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,Apache-2.0,2019-03-31 00:45:57.000,2024-04-11 17:15:54.000000,2024-04-11 09:52:28,10262.0,209.0,3182.0,247.0,10069.0,686.0,6172.0,26729.0,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",944.0,45,True,2024-04-11 13:27:17,2.2.2,110.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],30894.0,30894.0,https://pypi.org/project/pytorch-lightning,4851429.0,4875314.0,https://anaconda.org/conda-forge/pytorch-lightning,2024-03-05 21:00:43.443,1088496.0,,,,,1.0,8062.0,,Lightning-AI/pytorch-lightning,,,,,,,,,
18,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-04-11 13:02:11.000000,2024-04-10 17:29:28,6797.0,79.0,8161.0,910.0,5050.0,363.0,4750.0,25527.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",638.0,45,True,2023-12-19 10:07:53,2.0.3,56.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,86880.0,86880.0,https://pypi.org/project/xgboost,19124640.0,19227697.0,https://anaconda.org/conda-forge/xgboost,2024-04-02 17:25:29.060,4634528.0,,,,,1.0,8290.0,,,,,,,,,,,
19,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-04-11 15:50:45.000000,2024-04-11 14:29:27,47778.0,1817.0,5284.0,720.0,45321.0,948.0,16928.0,21571.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1186.0,45,True,2024-04-09 11:19:43,2.6.1,62.0,paddlepaddle,,,,['paddle'],4909.0,4909.0,https://pypi.org/project/paddlepaddle,193188.0,193355.0,,,,,,,,1.0,15369.0,,,,,,,,,,,
