,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,recent_commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,updated_github_id,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,trending,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2025-06-10 02:05:22.000000,2025-06-10 02:05:22,1585.0,810.0,117.0,366.0,89.0,156.0,5450.0,Benchmarks of approximate nearest neighbor libraries in Python.,112.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2025-09-25 17:18:47.000000,2025-09-18 17:26:50,367.0,187.0,57.0,216.0,,4.0,2607.0,Collection of web-scraping and crawling libraries.,16.0,0,True,21.0,2025-09-18 17:26:55,2025.09.18,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-25 13:50:10.000000,2025-09-18 14:54:54,383.0,274.0,100.0,213.0,8.0,6.0,4154.0,Collection of data-loading and -extraction libraries.,14.0,0,True,22.0,2025-09-18 14:55:01,2025.09.18,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-25 13:50:10.000000,2025-09-18 14:54:54,383.0,274.0,100.0,213.0,8.0,6.0,4154.0,Collection of database clients for python.,14.0,0,True,22.0,2025-09-18 14:55:01,2025.09.18,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-25 13:50:10.000000,2025-09-18 14:54:54,383.0,274.0,100.0,213.0,8.0,6.0,4154.0,"Collection of data-container, dataframe, and pandas-utility libraries.",14.0,0,True,22.0,2025-09-18 14:55:01,2025.09.18,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/lukasmasuch/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2025-09-25 13:50:10.000000,2025-09-18 14:54:54,383.0,274.0,100.0,213.0,8.0,6.0,4154.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",14.0,0,True,22.0,2025-09-18 14:55:01,2025.09.18,100.0,lukasmasuch/best-of-python,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-09-25 17:54:43.000000,2025-09-25 17:25:20,185062.0,73313.0,7458.0,58185.0,779.0,40035.0,194595.0,An Open Source Machine Learning Framework for Everyone.,4934.0,55,True,3252.0,2025-08-13 17:45:14,2.20.0,100.0,,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],538712.0,538712.0,https://pypi.org/project/tensorflow,22646378.0,23422987.0,https://anaconda.org/conda-forge/tensorflow,2025-09-11 02:20:56.517,5899560.0,https://hub.docker.com/r/tensorflow/tensorflow,2025-09-25 12:49:51.947602,2802.0,80411793.0,1.0,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-09-25 17:59:47.000000,2025-09-25 17:52:35,93513.0,24881.0,1794.0,109466.0,15597.0,38363.0,93465.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5922.0,55,True,3759.0,2025-08-06 17:06:10,2.8.0,61.0,,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],823683.0,823683.0,https://pypi.org/project/torch,66510318.0,67104609.0,https://anaconda.org/pytorch/pytorch,2025-03-25 16:24:31.802,28480129.0,,,,,1.0,103239.0,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-09-25 17:29:57.000000,2025-09-25 17:29:57,20586.0,29364.0,1172.0,22605.0,1066.0,16915.0,150252.0,"Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and..",3582.0,54,True,1118.0,2025-09-17 09:13:17,4.56.2,161.0,,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",401090.0,401090.0,https://pypi.org/project/transformers,102321844.0,102373616.0,https://anaconda.org/conda-forge/transformers,2025-09-19 18:29:52.598,3209888.0,,,,,1.0,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-09-25 13:22:08.000000,2025-09-25 13:22:08,32881.0,25533.0,2136.0,19421.0,1595.0,10129.0,63450.0,scikit-learn: machine learning in Python.,3385.0,53,True,301.0,2025-09-09 08:57:24,1.7.2,59.0,,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1323241.0,1323241.0,https://pypi.org/project/scikit-learn,134714011.0,135330692.0,https://anaconda.org/conda-forge/scikit-learn,2025-09-09 16:17:03.021,39467047.0,,,,,1.0,1062.0,,,,,,,,,,
