,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-05-06 05:38:50.000,2024-05-06 01:57:53,1553.0,17.0,665.0,116.0,326.0,49.0,141.0,4625.0,Benchmarks of approximate nearest neighbor libraries in Python.,104.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-05-09 17:47:27.000,2024-05-09 17:47:27,338.0,30.0,162.0,54.0,200.0,,3.0,2182.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-05-09 17:47:33,2024.05.09,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-09 15:40:11.000,2024-05-09 15:40:11,351.0,26.0,234.0,87.0,195.0,4.0,5.0,3443.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-05-09 15:40:21,2024.05.09,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-09 15:40:11.000,2024-05-09 15:40:11,351.0,26.0,234.0,87.0,195.0,4.0,5.0,3443.0,Collection of database clients for python.,12.0,0,True,2024-05-09 15:40:21,2024.05.09,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-09 15:40:11.000,2024-05-09 15:40:11,351.0,26.0,234.0,87.0,195.0,4.0,5.0,3443.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-05-09 15:40:21,2024.05.09,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-09 15:40:11.000,2024-05-09 15:40:11,351.0,26.0,234.0,87.0,195.0,4.0,5.0,3443.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-05-09 15:40:21,2024.05.09,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-05-09 18:01:30.000,2024-05-09 17:54:47,164141.0,4390.0,72314.0,7631.0,27452.0,1948.0,37246.0,185089.0,An Open Source Machine Learning Framework for Everyone.,4600.0,56,True,2024-03-08 19:09:29,2.15.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],367538.0,367538.0,https://pypi.org/project/tensorflow,23088528.0,24130961.0,https://anaconda.org/conda-forge/tensorflow,2024-01-30 00:38:25.304,4589226.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-05-09 12:48:39.037443,2403.0,77071934.0,1.0,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-05-09 18:01:30.000,2024-05-09 17:43:48,72812.0,3453.0,20657.0,1707.0,83784.0,12963.0,28776.0,78294.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4836.0,55,True,2024-04-24 16:12:17,2.3.0,52.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],442963.0,442963.0,https://pypi.org/project/torch,28809968.0,29476545.0,https://anaconda.org/pytorch/pytorch,2024-04-23 12:59:17.451,21316448.0,,,,,1.0,40296.0,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-05-09 12:58:54.000,2024-05-08 06:21:27,31278.0,328.0,24283.0,2141.0,17159.0,1582.0,9273.0,58238.0,scikit-learn: machine learning in Python.,3113.0,52,True,2024-04-09 20:07:22,1.4.2,49.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],769538.0,769538.0,https://pypi.org/project/scikit-learn,66600282.0,67185762.0,https://anaconda.org/conda-forge/scikit-learn,2024-05-07 23:17:12.106,28102642.0,,,,,1.0,950.0,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-05-09 18:01:24.000,2024-05-09 17:01:57,15841.0,753.0,23939.0,1094.0,15641.0,844.0,13877.0,125723.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2564.0,51,True,2024-05-06 16:09:45,4.40.2,110.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",166716.0,166716.0,https://pypi.org/project/transformers,27060267.0,27096163.0,https://anaconda.org/conda-forge/transformers,2024-05-07 05:35:22.641,1651261.0,,,,,1.0,,,,,,,,,,,,
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-05-09 17:52:36.000,2024-05-09 17:52:36,9233.0,1811.0,12765.0,649.0,12153.0,865.0,5834.0,84420.0,Build context-aware reasoning applications.,2426.0,49,True,2024-05-08 23:04:55,langchain==0.1.19,100.0,langchain,,,,,81781.0,81781.0,https://pypi.org/project/langchain,8474776.0,8474776.0,,,,,,,,1.0,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-05-09 17:52:43.000,2024-05-09 07:26:23,50282.0,572.0,7251.0,594.0,17957.0,1165.0,9052.0,19354.0,matplotlib: plotting with Python.,1672.0,48,True,2024-04-04 00:27:55,3.8.4,84.0,matplotlib,conda-forge/matplotlib,,,,1183708.0,1183708.0,https://pypi.org/project/matplotlib,63034807.0,63532436.0,https://anaconda.org/conda-forge/matplotlib,2024-05-06 01:03:53.090,23388570.0,,,,,1.0,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-05-09 14:38:46.000,2024-05-09 14:38:46,17764.0,597.0,1993.0,220.0,4818.0,73.0,2994.0,11739.0,Python Imaging Library (Fork).,468.0,48,True,2024-04-01 12:34:53,10.3.0,55.0,Pillow,conda-forge/pillow,,,,1649802.0,1649802.0,https://pypi.org/project/Pillow,96810919.0,97657796.0,https://anaconda.org/conda-forge/pillow,2024-04-03 15:56:48.771,38956380.0,,,,,1.0,,,,,,,,,,,,
13,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-05-09 13:59:18.000,2024-05-08 20:45:56,6308.0,206.0,2768.0,313.0,4421.0,780.0,3330.0,31979.0,Streamlit A faster way to build and share data apps.,228.0,46,True,2024-05-02 17:44:20,1.34.0,78.0,streamlit,,,,,375033.0,375033.0,https://pypi.org/project/streamlit,4202069.0,4202069.0,,,,,,,,1.0,,,,,,,,,,,,
14,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2024-05-09 17:35:43.000,2024-05-09 17:35:43,21544.0,923.0,5190.0,472.0,27491.0,3209.0,14230.0,31292.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,1012.0,45,True,2024-05-08 20:34:48,ray-2.21.0,84.0,ray,conda-forge/ray-tune,,,,15291.0,15291.0,https://pypi.org/project/ray,4605873.0,4611005.0,https://anaconda.org/conda-forge/ray-tune,2024-04-27 07:43:08.400,210366.0,,,,,1.0,211.0,,,,,,,,,,,
15,jax,google/jax,ml-frameworks,,https://github.com/google/jax,https://github.com/google/jax,Apache-2.0,2018-10-25 21:25:02.000,2024-05-09 17:51:38.000,2024-05-09 17:38:51,20626.0,1303.0,2530.0,321.0,13417.0,1293.0,3844.0,28100.0,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more.",687.0,45,True,2024-05-07 17:44:31,jax-v0.4.27,100.0,jax,conda-forge/jaxlib,,,,24955.0,24955.0,https://pypi.org/project/jax,6460334.0,6485042.0,https://anaconda.org/conda-forge/jaxlib,2024-05-03 19:45:09.278,1161292.0,,,,,1.0,,,,,,,,,,,,
16,XGBoost,dmlc/xgboost,ml-frameworks,,https://github.com/dmlc/xgboost,https://github.com/dmlc/xgboost,Apache-2.0,2014-02-06 17:28:03.000,2024-05-09 00:13:31.000,2024-05-08 23:44:07,6831.0,82.0,8169.0,911.0,5112.0,377.0,4757.0,25608.0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and..",640.0,45,True,2023-12-19 10:07:53,2.0.3,56.0,xgboost,conda-forge/xgboost,,https://xgboost.readthedocs.io/en/latest/,,90487.0,90487.0,https://pypi.org/project/xgboost,19193312.0,19296561.0,https://anaconda.org/conda-forge/xgboost,2024-04-18 01:21:37.436,4746305.0,,,,,1.0,8539.0,,,,,,,,,,,
17,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2024-05-09 17:16:57.000,2024-05-09 13:44:51,48200.0,1572.0,5299.0,722.0,45981.0,953.0,16997.0,21643.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1196.0,45,True,2024-04-09 11:19:43,2.6.1,62.0,paddlepaddle,,,,['paddle'],5058.0,5058.0,https://pypi.org/project/paddlepaddle,267771.0,267936.0,,,,,,,,1.0,15373.0,,,,,,,,,,,
18,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2024-05-09 16:53:26.000,2024-05-09 16:53:26,57618.0,482.0,4243.0,295.0,13141.0,4331.0,8734.0,12435.0,A computer algebra system written in pure Python.,1300.0,45,True,2024-03-31 22:49:13,1.12.1rc1,46.0,sympy,conda-forge/sympy,,,,133663.0,133663.0,https://pypi.org/project/sympy,21116915.0,21177572.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,5424244.0,,,,,1.0,540245.0,-1.0,,,,,,,,,,
