,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,docs_url,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-09-02 06:22:28.000000,2024-09-02 06:22:28,1567.0,8.0,695.0,117.0,338.0,62.0,145.0,4854.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,166.0,57.0,205.0,,3.0,2281.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,243.0,93.0,199.0,4.0,5.0,3607.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,243.0,93.0,199.0,4.0,5.0,3607.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,243.0,93.0,199.0,4.0,5.0,3607.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,1.0,243.0,93.0,199.0,4.0,5.0,3607.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-09-12 17:58:50.000000,2024-09-12 17:54:25,78375.0,3938.0,21589.0,1748.0,90571.0,13930.0,30979.0,82103.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5116.0,56,True,2024-09-04 19:59:29,2.4.1,55.0,torch,pytorch/pytorch,https://pytorch.org/docs/stable/index.html,['pytorch'],56151.0,34749990.0,522822.0,522822.0,https://pypi.org/project/torch,34096619.0,https://anaconda.org/pytorch/pytorch,2024-09-03 16:47:49.313,23500364.0,1.0,,,,,,,,,,,,,,,,
7,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-09-12 17:54:08.000000,2024-09-12 17:46:27,169528.0,3756.0,72581.0,7600.0,35256.0,1666.0,38064.0,187996.0,An Open Source Machine Learning Framework for Everyone.,4676.0,55,True,2024-07-11 16:28:57,2.17.0,100.0,tensorflow,conda-forge/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],,18557065.0,407794.0,407794.0,https://pypi.org/project/tensorflow,17721716.0,https://anaconda.org/conda-forge/tensorflow,2024-08-31 23:00:17.783,4933444.0,1.0,tensorflow/tensorflow,https://hub.docker.com/r/tensorflow/tensorflow,2024-09-12 12:48:44.377019,2550.0,78088239.0,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-09-12 17:27:35.000000,2024-09-12 17:16:12,16813.0,661.0,25255.0,1117.0,17326.0,1051.0,14623.0,131920.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2804.0,52,True,2024-08-22 16:56:32,4.44.2,124.0,transformers,conda-forge/transformers,,"['pytorch', 'tensorflow']",,36307203.0,213637.0,213637.0,https://pypi.org/project/transformers,36266783.0,https://anaconda.org/conda-forge/transformers,2024-08-23 08:59:54.225,2021022.0,1.0,,,,,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-09-12 14:26:14.000000,2024-09-12 14:26:14,31683.0,272.0,24530.0,2139.0,17700.0,1555.0,9565.0,59408.0,scikit-learn: machine learning in Python.,3178.0,52,True,2024-09-11 15:52:05,1.5.2,52.0,scikit-learn,conda-forge/scikit-learn,,['sklearn'],1021.0,71245518.0,884320.0,884320.0,https://pypi.org/project/scikit-learn,70652640.0,https://anaconda.org/conda-forge/scikit-learn,2024-09-11 20:00:28.266,30829167.0,1.0,,,,,,,,,,,,,,,,
