,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-10-29 08:34:20.000,2024-10-29 08:34:20,1568.0,3.0,715.0,118.0,340.0,64.0,147.0,4956.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000,2024-06-06 19:06:33,346.0,,170.0,58.0,205.0,,3.0,2317.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,1.0,247.0,94.0,199.0,5.0,6.0,3688.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,1.0,247.0,94.0,199.0,5.0,6.0,3688.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,1.0,247.0,94.0,199.0,5.0,6.0,3688.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000,2024-08-14 02:31:07,360.0,1.0,247.0,94.0,199.0,5.0,6.0,3688.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-11-07 18:06:15.000,2024-11-07 16:53:01,171947.0,3773.0,72711.0,7582.0,38978.0,1360.0,38611.0,188836.0,An Open Source Machine Learning Framework for Everyone.,4711.0,55,True,2024-10-24 23:51:36,2.18.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],425736.0,425736.0,https://pypi.org/project/tensorflow,18830463.0,19654161.0,https://anaconda.org/conda-forge/tensorflow,2024-10-17 06:34:48.464,5068740.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-11-07 13:48:31.858501,2602.0,78432183.0,1.0,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-11-07 18:01:29.000,2024-11-07 17:56:53,80659.0,3714.0,22096.0,1740.0,93381.0,14231.0,32031.0,83701.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5228.0,55,True,2024-10-29 17:58:24,2.5.1,57.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],561398.0,561398.0,https://pypi.org/project/torch,32333312.0,32975450.0,https://anaconda.org/pytorch/pytorch,2024-10-28 23:02:38.194,24376281.0,,,,,1.0,64438.0,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-11-07 18:05:47.000,2024-11-07 18:05:47,31892.0,309.0,24664.0,2141.0,17976.0,1527.0,9691.0,60040.0,scikit-learn: machine learning in Python.,3218.0,53,True,2024-09-11 15:52:05,1.5.2,52.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],940395.0,940395.0,https://pypi.org/project/scikit-learn,78396254.0,78988238.0,https://anaconda.org/conda-forge/scikit-learn,2024-09-11 20:00:28.266,31966703.0,,,,,1.0,1028.0,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-11-07 14:57:34.000,2024-11-07 14:57:34,17341.0,770.0,25877.0,1123.0,18057.0,975.0,15114.0,134570.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2916.0,52,True,2024-11-05 18:21:54,4.46.2,130.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",237226.0,237226.0,https://pypi.org/project/transformers,44441542.0,44483645.0,https://anaconda.org/conda-forge/transformers,2024-11-06 04:51:04.028,2189396.0,,,,,1.0,,,,,,,,,,,,
