,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,trending,updated_github_id,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-12-23 01:23:30.000000,2024-12-23 01:23:30,1570.0,3.0,722.0,119.0,345.0,68.0,152.0,5034.0,Benchmarks of approximate nearest neighbor libraries in Python.,108.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-06-07 15:14:35.000000,2024-06-06 19:06:33,346.0,,173.0,58.0,205.0,,3.0,2373.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-06-06 19:06:38,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,248.0,96.0,199.0,5.0,6.0,3750.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,248.0,96.0,199.0,5.0,6.0,3750.0,Collection of database clients for python.,12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,248.0,96.0,199.0,5.0,6.0,3750.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-08-14 02:31:07.000000,2024-08-14 02:31:07,360.0,,248.0,96.0,199.0,5.0,6.0,3750.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-06-06 14:07:12,2024.06.06,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2025-01-02 17:49:32.000000,2025-01-02 17:47:28,174053.0,3594.0,72791.0,7547.0,42167.0,844.0,39273.0,189709.0,An Open Source Machine Learning Framework for Everyone.,4749.0,55,True,2024-10-24 23:51:36,2.18.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],447981.0,447981.0,https://pypi.org/project/tensorflow,21502590.0,22315057.0,https://anaconda.org/conda-forge/tensorflow,2024-10-17 06:34:48.464,5200652.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-12-16 13:48:51.895865,2649.0,78777587.0,1.0,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2025-01-02 17:52:00.000000,2025-01-02 17:22:11,82740.0,3592.0,22519.0,1752.0,95788.0,14419.0,33472.0,85461.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,5339.0,55,True,2024-10-29 17:58:24,2.5.1,57.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],606168.0,606168.0,https://pypi.org/project/torch,30490576.0,31122317.0,https://anaconda.org/pytorch/pytorch,2024-10-28 23:02:38.194,25241524.0,,,,,1.0,70302.0,,,,,,,,,,,
8,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2025-01-02 17:21:59.000000,2025-01-02 17:21:58,32039.0,300.0,24757.0,2147.0,18187.0,1556.0,9762.0,60593.0,scikit-learn: machine learning in Python.,3241.0,53,True,2024-12-09 18:30:05,1.6.0,54.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],1006912.0,1006912.0,https://pypi.org/project/scikit-learn,73425448.0,74016145.0,https://anaconda.org/conda-forge/scikit-learn,2024-12-09 17:45:36.628,33078581.0,,,,,1.0,1036.0,,,,,,,,,,,
9,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2025-01-02 15:41:49.000000,2025-01-02 10:36:53,17670.0,643.0,26370.0,1126.0,18570.0,995.0,15404.0,137055.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2986.0,52,True,2024-12-17 15:42:54,4.47.1,133.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",263791.0,263791.0,https://pypi.org/project/transformers,43036427.0,43080270.0,https://anaconda.org/conda-forge/transformers,2024-12-18 05:19:05.387,2367536.0,,,,,1.0,,,,,,,,,,,,
