,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2024-05-24 10:46:05.000,2024-05-24 10:46:05,1559.0,20.0,671.0,117.0,332.0,54.0,144.0,4672.0,Benchmarks of approximate nearest neighbor libraries in Python.,105.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-05-30 16:41:10.000,2024-05-23 16:49:08,342.0,27.0,162.0,56.0,203.0,,3.0,2206.0,Collection of web-scraping and crawling libraries.,16.0,0,True,2024-05-23 16:49:13,2024.05.23,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-30 14:43:22.000,2024-05-30 14:43:22,357.0,26.0,235.0,88.0,198.0,4.0,5.0,3477.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2024-05-30 14:43:28,2024.05.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-30 14:43:22.000,2024-05-30 14:43:22,357.0,26.0,235.0,88.0,198.0,4.0,5.0,3477.0,Collection of database clients for python.,12.0,0,True,2024-05-30 14:43:28,2024.05.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-containers,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-30 14:43:22.000,2024-05-30 14:43:22,357.0,26.0,235.0,88.0,198.0,4.0,5.0,3477.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2024-05-30 14:43:28,2024.05.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,best-of-python - Data Pipelines,ml-tooling/best-of-python,data-pipelines,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-pipelines--streaming,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2024-05-30 14:43:22.000,2024-05-30 14:43:22,357.0,26.0,235.0,88.0,198.0,4.0,5.0,3477.0,"Libraries for data batch- and stream-processing, workflow automation, job scheduling, and other data pipeline tasks.",12.0,0,True,2024-05-30 14:43:28,2024.05.30,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2024-05-30 17:57:31.000,2024-05-30 17:43:08,165143.0,4103.0,72393.0,7631.0,29000.0,1949.0,37326.0,185589.0,An Open Source Machine Learning Framework for Everyone.,4610.0,56,True,2024-03-08 19:09:29,2.15.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],374499.0,374499.0,https://pypi.org/project/tensorflow,22001326.0,22859549.0,https://anaconda.org/conda-forge/tensorflow,2024-05-24 12:35:11.711,4642809.0,https://hub.docker.com/r/tensorflow/tensorflow,2024-05-30 12:49:34.164230,2427.0,77243985.0,1.0,,,,,,,,,,,,
7,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2024-05-30 17:59:54.000,2024-05-30 17:56:49,73664.0,3534.0,20818.0,1719.0,84947.0,13074.0,29188.0,78977.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4877.0,55,True,2024-04-24 16:12:17,2.3.0,52.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],456990.0,456990.0,https://pypi.org/project/torch,29056342.0,29734146.0,https://anaconda.org/pytorch/pytorch,2024-04-23 12:59:17.451,21674978.0,,,,,1.0,42478.0,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2024-05-30 17:57:13.000,2024-05-30 15:21:10,16027.0,784.0,24147.0,1099.0,15886.0,849.0,14038.0,126903.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2598.0,52,True,2024-05-30 17:59:26,4.41.2,112.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",174365.0,174365.0,https://pypi.org/project/transformers,28120195.0,28157173.0,https://anaconda.org/conda-forge/transformers,2024-05-23 03:00:54.170,1701032.0,,,,,1.0,,,,,,,,,,,,
9,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2024-05-30 15:48:12.000,2024-05-30 14:22:40,31351.0,294.0,24313.0,2141.0,17256.0,1560.0,9342.0,58474.0,scikit-learn: machine learning in Python.,3124.0,52,True,2024-05-21 16:37:08,1.5.0,50.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],788550.0,788550.0,https://pypi.org/project/scikit-learn,67386755.0,67981376.0,https://anaconda.org/conda-forge/scikit-learn,2024-05-23 19:24:01.860,28541401.0,,,,,1.0,957.0,,,,,,,,,,,
10,langchain,langchain-ai/langchain,nlp,,https://github.com/langchain-ai/langchain,https://github.com/langchain-ai/langchain,MIT,2022-10-17 02:58:36.000,2024-05-30 17:52:19.000,2024-05-30 17:34:49,9591.0,1750.0,13099.0,660.0,12641.0,823.0,6007.0,86204.0,Build context-aware reasoning applications.,2495.0,49,True,2024-05-30 16:24:12,langchain-robocorp==0.0.9,100.0,langchain,,,,,88511.0,88511.0,https://pypi.org/project/langchain,9199597.0,9199597.0,,,,,,,,1.0,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2024-05-30 11:14:43.000,2024-05-30 01:08:27,50404.0,579.0,7274.0,594.0,18027.0,1183.0,9084.0,19463.0,matplotlib: plotting with Python.,1681.0,48,True,2024-05-15 23:51:33,3.9.0,85.0,matplotlib,conda-forge/matplotlib,,,,1208155.0,1208155.0,https://pypi.org/project/matplotlib,64949015.0,65455235.0,https://anaconda.org/conda-forge/matplotlib,2024-05-17 21:11:33.658,23792362.0,,,,,1.0,,,,,,,,,,,,
12,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2024-05-30 10:20:23.000,2024-05-30 06:08:11,17840.0,553.0,2000.0,220.0,4846.0,81.0,3002.0,11794.0,Python Imaging Library (Fork).,470.0,48,True,2024-04-01 12:34:53,10.3.0,55.0,Pillow,conda-forge/pillow,,,,1679164.0,1679164.0,https://pypi.org/project/Pillow,97917183.0,98780863.0,https://anaconda.org/conda-forge/pillow,2024-04-03 15:56:48.771,39729289.0,,,,,1.0,,,,,,,,,,,,
13,Streamlit,streamlit/streamlit,model-serialisation,,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit,Apache-2.0,2019-08-24 00:14:52.000,2024-05-30 18:04:28.000,2024-05-29 14:38:51,6360.0,221.0,2794.0,314.0,4519.0,814.0,3359.0,32464.0,Streamlit A faster way to build and share data apps.,230.0,46,True,2024-05-23 17:12:57,1.35.0,79.0,streamlit,,,,,392424.0,392424.0,https://pypi.org/project/streamlit,4816261.0,4816261.0,,,,,,,,1.0,,,,,,,,,,,,
